id,short_code,label,description,statistic_category_id,created_at,created_by,updated_at,updated_by
1,MEAN,Mean,Average value,1,2025-09-01 13:37:57.123422+00:00,2,2026-03-13 23:42:45.379828+00:00,2
2,MEDIAN,Median,50th percentile,1,2025-09-01 13:37:57.123422+00:00,2,2026-03-13 23:42:45.379828+00:00,2
3,MIN,Minimum,Minimum value,1,2025-09-01 13:37:57.123422+00:00,2,2026-03-13 23:42:45.379828+00:00,2
4,MAX,Maximum,Maximum value,1,2025-09-01 13:37:57.123422+00:00,2,2026-03-13 23:42:45.379828+00:00,2
5,CV,Coefficient of variation,Relative variability (stdev/mean),1,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
6,STDEV,Standard deviation,Absolute spread around the mean,1,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
7,Q0,0th percentile,Minimum in percentile band context,2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
8,Q10,10th percentile,Dry conditions (10th percentile),2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
9,Q30,30th percentile,Below normal (30th percentile),2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
10,Q50,50th percentile,Median in percentile band context,2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
11,Q70,70th percentile,Above normal (70th percentile),2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
12,Q90,90th percentile,Wet conditions (90th percentile),2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
13,Q100,100th percentile,Maximum in percentile band context,2,2026-02-15 18:37:06.907763+00:00,2,2026-03-13 23:42:45.379828+00:00,2
14,EXC_P5,5th exceedance,Value exceeded 5% of time (very wet),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
15,EXC_P10,10th exceedance,Value exceeded 10% of time (wet),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
16,EXC_P25,25th exceedance,Value exceeded 25% of time (above avg),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
17,EXC_P50,50th exceedance,Value exceeded 50% of time (median),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
18,EXC_P75,75th exceedance,Value exceeded 75% of time (below avg),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
19,EXC_P90,90th exceedance,Value exceeded 90% of time (dry),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
20,EXC_P95,95th exceedance,Value exceeded 95% of time (very dry),3,2026-03-13 23:42:45.379828+00:00,2,2026-03-13 23:42:45.379828+00:00,2
