id,short_code,name,description,hydrologic_region_id,unimp_sv_variable,is_active,created_at,created_by,updated_at,updated_by
1,BEAR_RIVER,Bear River Watershed,Bear River Watershed,2,,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
2,SAC_UPPER,Sacramento River — Upper (above Bend Bridge),Sacramento River mainstem above Bend Bridge near Red Bluff; Shasta Reservoir inflow is the unimpaired natural flow reference,1,UNIMP_SHAS,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
3,SAN_JOAQUIN,San Joaquin River Hydrologic Region,San Joaquin River Hydrologic Region watershed,2,UNIMP_SJ,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
4,UPPER_AMERICAN,Upper American River Watershed,Upper American River Watershed,2,UNIMP_FOLS,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
5,UPPER_FEATHER,Upper Feather River Watershed,Upper Feather River Watershed,2,UNIMP_OROV,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
6,UPPER_MOKELUMNE,Upper Mokelumne River Watershed,Upper Mokelumne River Watershed,2,,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
7,UPPER_STANISLAUS,Upper Stanislaus River,Upper Stanislaus River watershed,2,UNIMP_ST,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
8,UPPER_TUOLUMNE,Upper Tuolumne River Watershed,Upper Tuolumne River Watershed,2,UNIMP_TU,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
9,YUBA_RIVER,Yuba River Watershed,Yuba River Watershed,2,UNIMP_YUBA,True,2026-03-01 18:22:51.116055+00:00,2,2026-03-14 23:16:58.905157+00:00,2
10,SAC_LOWER,Sacramento River — Lower (at and below Bend Bridge),Sacramento River mainstem at Bend Bridge (rm 257) and downstream to the Delta; Sacramento River at Bend Bridge gauge is the unimpaired reference (UNIMP_SRBB),1,UNIMP_SRBB,True,2026-03-02 20:41:15.932301+00:00,2,2026-03-14 23:16:58.905157+00:00,2
11,UPPER_MERCED,Upper Merced River Watershed,Merced River drainage above Lake McClure (Exchequer Reservoir),2,UNIMP_ME,True,2026-03-02 20:41:15.933902+00:00,2,2026-03-14 23:16:58.905157+00:00,2
12,TRINITY_RIVER,Trinity River Watershed,Trinity River drainage above Lewiston Reservoir; source of diversion to Sacramento basin via Clear Creek Tunnel,6,UNIMP_TRIN,True,2026-03-02 20:41:15.933902+00:00,2,2026-03-14 23:25:52.566493+00:00,1
13,CLEAR_CREEK,Clear Creek / Whiskeytown Watershed,"Clear Creek drainage above Whiskeytown Reservoir; receives Trinity diversion water, tributary to Sacramento River below Shasta",1,UNIMP_WH,True,2026-03-02 20:41:15.933902+00:00,2,2026-03-14 23:16:58.905157+00:00,2
