id,short_code,network_id,river,from_node,to_node,shape_length_m,model_source_id,source_id,network_version_id,is_active,created_at,created_by,updated_at,updated_by
1,R_13_NU1_ORWWTP,4772,,13_NU1,ORWWTP,4500.0,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
2,CT_BENDBRIDGE,713,BENDBRIDGE,Bend Bridge,SAC257,7500.0,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
3,CT_BUTTECITY,714,BUTTECITY,ButteCity,SAC169,7499.9999893411,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
4,CT_COLUSA,715,COLUSA,Colusa,CBD000,7500.00003466891,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
5,CT_DAVIS,716,DAVIS,Davis,PTH007,7500.00000351538,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
6,CT_FAIROAKS,717,FAIROAKS,FairOaks,AMR022,7500.00001101893,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
7,CT_FREEPORT,718,FREEPORT,Freeport,SAC049,7500.00005625693,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
8,CT_NICOLAUS,724,NICOLAUS,Nicolaus,FTR008,7500.00000818407,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
9,CT_OROVILLE,725,OROVILLE,Oroville,OROVL,7500.00002996384,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
10,CT_SACSLOUGH,728,SACSLOUGH,SacSlough,SSL001,7500.00001514946,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
11,CT_SMARTVILLE,730,SMARTVILLE,Smartville,ENGLB,7500.00000217662,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
12,CT_VERONA,733,VERONA,Verona,SAC081,7500.00002683971,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
13,CT_WHEATLAND,734,WHEATLAND,Wheatland,CMPFW,7500.00002716253,1,4,12,True,2025-10-16 23:35:26.856535+00:00,2,2025-10-16 23:35:26.856535+00:00,2
