id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,source,model_source,agency,provider,gw,sw,point_of_diversion,diversion_arc,river_reach,river_mile_start,river_mile_end,bank,area_acres,annual_diversion_taf,demand_unit,table_id,has_gis_data,is_active,created_at,created_by,updated_at,updated_by,hydrologic_region_id,model_source_id
1,02_NA,02,SAC,0,Agriculture,,139928.72,2,"geopackage,calsim_report",calsim3,Non-district,,True,True,"Cottonwood Creek, Sacramento River",D_SAC281_02_NA,Keswick to Bend Bridge,299.00,257.00,Right,800.00,1.00,02_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
2,02_SA,02,SAC,0,Agriculture,SA,23866.22,3,"geopackage,calsim_report",calsim3,"Anderson-Cottonwood ID, misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,02_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
3,02_PA,02,SAC,0,Agriculture,PA,17916.50,1,"geopackage,calsim_report",calsim3,Clear Creek CSD,CVP,True,True,Whiskeytown Lake,,,,,,,,02_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
4,03_NA,03,SAC,0,Agriculture,,137800.82,2,"geopackage,calsim_report",calsim3,Non-district,,True,True,"Cow Creek, Battle Creek, Sacramento River",D_SAC273_03_NA,Keswick to Bend Bridge,299.00,257.00,Left,2200.00,5.00,03_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
5,03_SA,03,SAC,0,Agriculture,SA,3650.70,2,"geopackage,calsim_report",calsim3,"Anderson-Cottonwood ID, misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,03_SA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
6,03_PA,03,SAC,0,Agriculture,PA,31015.70,1,"geopackage,calsim_report",calsim3,Bella Vista WD,CVP,True,True,Sacramento River via Wintu Pumping Plant,,,,,,,,03_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
7,04_NA,04,SAC,0,Agriculture,,443810.12,17,"geopackage,calsim_report",calsim3,Non-district including misc. settlement contractors,,True,True,"Elder Creek, Thomes Creek, Sacramento River",,,,,,,,04_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
8,04_PA1,04,SAC,0,Agriculture,PA,17980.09,3,"geopackage,calsim_report",calsim3,"Corning WD, Proberta WD, Thomes Creek WD",CVP,True,True,Corning Canal,,,,,,,,04_PA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
9,04_PA2,04,SAC,0,Agriculture,PA,1151.79,1,"geopackage,calsim_report",calsim3,Kirkwood WD,CVP,True,True,Tehama-Colusa Canal,,,,,,,,04_PA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
10,05_NA,05,SAC,0,Agriculture,,167231.26,5,"geopackage,calsim_report",calsim3,"Los Molinos MWC, non-district including misc.",CVP,True,True,"Antelope Creek, Mill Creek, Deer Creek, Sacramento River",,,,,,,,05_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
11,06_NA,06,SAC,0,Agriculture,,11100.09,1,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,06_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
12,06_PA,06,SAC,0,Agriculture,PA,25168.26,1,"geopackage,calsim_report",calsim3,Orland Unit WUA,Reclamation,True,True,"Stony Creek, via North and South canals",,,,,,,,06_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
13,07N_NA,07N,SAC,0,Agriculture,,225644.88,3,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,07N_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
14,07N_PA,07N,SAC,0,Agriculture,PA,58572.02,4,"geopackage,calsim_report",calsim3,"Glide WD, Holthouse WD (65% of total), Kanawha WD, Orland- Artois WD",CVP,True,True,Tehama-Colusa Canal,,,,,,,,07N_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
15,07S_NA,07S,SAC,0,Agriculture,,296733.32,7,"geopackage,calsim_report",calsim3,Non-district,,True,False,,,,,,,,,07S_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
16,CVP,,SAC,,Agriculture,,,0,calsim_report,calsim3,,,True,True,Tehama-Colusa Canal,,,,,,,,CVP,,False,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
17,08N_NA,08N,SAC,0,Agriculture,,34040.70,3,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC185_08N_NA,Glenn-Colusa Irrigation District Intake to Hamilton Bend,207.00,154.00,Right,7200.00,14.00,08N_NA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
18,08N_PA,08N,SAC,0,Agriculture,PA,4491.15,1,"geopackage,calsim_report",calsim3,Colusa Drain MWC (8% of total),CVP,True,True,Colusa Basin Drain,,,,,,,,08N_PA,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
19,08N_SA1,08N,SAC,0,Agriculture,SA,37604.98,9,"geopackage,calsim_report",calsim3,"Maxwell ID (5% of total), Princeton-Codora-Glenn ID, Provident ID, misc. settlement contractors",CVP,True,True,Sacramento River,,,,,,,,08N_SA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
20,08N_SA2,08N,SAC,0,Agriculture,SA,84015.08,2,"geopackage,calsim_report",calsim3,Glenn-Colusa ID (55% of total),CVP,True,True,Glenn-Colusa Canal,,,,,,,,08N_SA2,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
21,08S_NA1,08S,SAC,0,Agriculture,,19453.06,2,"geopackage,calsim_report",calsim3,Non-district,,True,True,Sacramento River,D_SAC146_08S_NA1,Hamilton Bend to Sycamore Slough,154.00,134.00,Right,15600.00,8.00,08S_NA1,,True,True,2026-02-05 02:38:52.517047+00:00,2,2026-03-14 22:18:34.503785+00:00,2,1,1
