id,du_id,wba_id,hydrologic_region,dups,du_class,cs3_type,total_acres,polygon_count,refuge_or_wildlife_area,managed_by,provider,gw,sw,point_of_diversion_conveyance,source,model_source,has_gis_data,is_active,created_at,created_by,updated_at,updated_by
1,08N_PR1,08N,SAC,0,Refuge,PR,10875.4872,1,Sacramento NWR,USFWS,Reclamation,False,True,Glenn-Colusa Canal,"geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
2,08N_PR2,08N,SAC,0,Refuge,PR,5832.9345,1,Delevan NWR,USFWS,Reclamation,False,True,Glenn-Colusa Canal,"geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
3,08S_PR,08S,SAC,0,Refuge,PR,4099.4115,1,Colusa NWR,USFWS,Reclamation,False,True,"Glenn-Colusa Canal, Colusa Basin Drain","geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
4,09_PR,09,SAC,0,Refuge,PR,3304.8637,3,"Llano Seco Unit, Upper Butte Basin WA, Sacramento River NWR","CDFW, USFWS",Water rights,False,True,"Sacramento River, Butte Creek","geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
5,11_PR,11,SAC,-1,Refuge,PR,7664.9999,2,Upper Butte Basin WA – Little Dry Creek and Howard Slough Units,CDFW,"Western Canal WD, Richvale ID",True,True,Thermalito Afterbay via Western Canal and Sutter-Butte Canal,"geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
6,17N_NR,17N,SAC,-1,Refuge,NR,7670.8224,1,Butte Sink Duck Clubs,"Private, USFWS","Water rights, Western Canal WD",False,True,"Thermalito Afterbay via Western Canal, Butte Creek","geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
7,17N_PR,17N,SAC,-1,Refuge,PR,8447.6087,1,Gray Lodge WA,CDFW,"Reclamation, DWR (by exchange)",True,True,Thermalito Afterbay via Biggs-West Gridley WD canals,"geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
8,17S_PR,17S,SAC,-1,Refuge,PR,3746.6100,1,Sutter NWR,USFWS,"Reclamation, Sutter Extension WD",False,True,"Sutter Bypass, Sutter Extension Canal","geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
9,63_PR1,63,SJR,-1,Refuge,PR,2484.5606,1,"Arena Plains and Snow Bird units, Merced NWR",USFWS,,False,True,Drainage water from Turlock ID and Stevenson WC,"geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
10,63_PR2,63,SJR,-1,Refuge,PR,5806.1763,1,"Merced and Lone Tree Units, Merced NWR",USFWS,Reclamation,True,True,"Merced ID, via Deadman Creek and Duck Slough","geopackage,calsim_report",calsim3,True,True,2026-03-02 14:42:42.899446+00:00,2,2026-03-02 14:42:42.899446+00:00,2
