id,short_code,contractor_name,project,region,contractor_type,contract_amount_taf,source_contractor_id,source_file,is_active,created_at,created_by,updated_at,updated_by
1,ACFC,ALAMEDA COUNTY FC&WCD-ZONE 7,SWP,SOD,MI,49.74,1,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
2,ACWD,ALAMEDA COUNTY WD,SWP,SOD,MI,20.88,2,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
3,AVEK,ANTELOPE VALLEY-EAST KERN WA,SWP,SOD,MI,25.68,3,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
4,CLRTA_AG,SANTA CLARITA WA - AG,SWP,SOD,AG,99.03,4,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
5,YUBA,CITY OF YUBA CITY,SWP,NOD,MI,12.70,5,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
6,CCHLA,COACHELLA VALLEY WD,SWP,SOD,MI,40.68,6,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
7,BUTTE,COUNTY OF BUTTE,SWP,NOD,MI,4.80,7,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
8,KINGS,COUNTY OF KINGS,SWP,SOD,AG,69.18,8,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
9,CSTLN,CRESTLINE-LAKE ARROWHEAD WA,SWP,SOD,MI,27.50,9,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
10,DESRT,DESERT WA,SWP,SOD,MI,9.31,10,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
11,DUDLEY,DUDLEY RIDGE WD,SWP,SOD,AG,2.90,11,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
12,EMPIRE,EMPIRE WEST SIDE ID,SWP,SOD,AG,27.88,12,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
13,KERNA,KERN COUNTY WA - AG,SWP,SOD,AG,36.57,13,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
14,LROCK,LITTLEROCK CREEK ID,SWP,SOD,MI,2.43,14,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
15,MWD,METROPOLITAN WDSC,SWP,SOD,MWD,134.60,15,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
16,MOJVE,MOJAVE WA,SWP,SOD,MI,440.40,16,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
17,NAPA,NAPA COUNTY FC&WCD,SWP,NOD,MI,119.36,17,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
18,OAKFL,OAK FLAT WD,SWP,SOD,AG,62.82,18,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
19,PLMDL,PALMDALE WD,SWP,SOD,MI,79.58,19,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
20,BRDNO,SAN BERNARDINO VALLEY MWD,SWP,SOD,MI,2.30,20,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
21,GABRL,SAN GABRIEL VALLEY MWD,SWP,SOD,MI,192.10,21,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
22,GRGNO,SAN GORGONIO PASS WA,SWP,SOD,MI,141.57,22,swp_contractor_perdel_A.wresl,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
