id,mi_contractor_id,delivery_arc,arc_type,is_active,created_at,created_by,updated_at,updated_by
1,1,D_SBA009_ACFC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
2,1,D_SBA020_ACFC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
3,2,D_SBA029_ACWD,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
4,3,D_ESB324_AVEK,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
5,4,D_CSB009_CLRTA1_DDWD,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
6,30,D_WSB032_CLRTA2,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
7,5,D204,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
8,6,D_ESB407_CCHLA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
9,7,D201,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
10,8,D_CAA181_KINGS,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
11,9,D_SVRWD_CSTLN,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
12,10,D_ESB408_DESRT,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
13,11,D_CAA184_DUDLEY,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
14,12,D_CAA173_EMPIRE,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
15,29,D_CAA194_KERNA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
16,13,D_CAA194_KERN,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
17,13,D_CAA242_Kern,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
18,13,D_CAA279_Kern,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
19,13,D_CSB015_KERN_BMWD,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
20,14,D_ESB355_LROCK,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
21,15,D_PRRIS_MWDSC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
22,15,D_CAA194_KERNB,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
23,15,D_ESB413_MWDSC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
24,15,D_WSB031_MWDSC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
25,15,D_ESB433_MWDSC,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
26,16,D_ESB403_MOJVE,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
27,17,D_BKR004_NBA009_NAPA,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
28,18,D802A,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
29,19,D_ESB347_PLMDL,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
30,20,D_ESB414_BRDNO,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
31,21,D_ESB415_GABRL,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
32,22,D_ESB420_GRGNO,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
33,23,D_CSB038_OBISPO,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
34,24,D_CSB103_BRBRA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
35,25,D_SBA036_SCVWD,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
36,26,D_BKR004_NBA009_SCWA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
37,27,D_CAA183_TULARE,PAG,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
38,28,D_PYRMD_VNTRA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
39,28,D_CSTIC_VNTRA,PMI,True,2026-02-02 00:00:00+00:00,2,2026-03-14 22:18:34.503785+00:00,2
