id,short_code,name,short_title,operation_category_id,description,source_id,is_active,notes,created_by,updated_by,created_at,updated_at
1,comm_delivery_HHS,Prioritize deliveries for minimum human health and safety,Prioritize human health and safety needs,1,"Priority deliveries to communities to satisfy human health and safety drinking water needs, defined by the Water Board as 55 gallons per person per day ",2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
2,comm_delivery_functional,Prioritize deliveries for functional community needs,Prioritize functional community water needs,1,Priority deliveries to communities to satisfy functional water needs,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
3,comm_delivery_full,Prioritize full community water demands,Prioritize full community water needs,1,Priority deliveries to communities to satisfy full community water demands,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
4,delta_outflow_35,Modified Delta outflow requirements at 35% of unimpaired flow,Reduce delta outflows (35% unimpaired flows),2,35% of unimpaired flow,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
5,delta_outflow_45,Current Baseline Delta outflow requirements,Maintain Delta outflows (45% of unimpaired flows),2,current Delta outflow,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
6,delta_outflow_55,Modified Delta outflow requirements at 55% of unimpaired flow,Increase Delta outflows (55% of unimpaired flows),2,55% of unimpaired flow,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
7,delta_outflow_65,Modified Delta outflow requirements at 65% of unimpaired flow,Increase Delta outflows (65% of unimpaired flows) - Alt3,2,65% of unimpaired flow,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
8,increase_Shasta_co,Increased Shasta Reservoir carryover requirements,,3,Increase end-of-water year carry over targets for Shasta reservoir by XX,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
9,delta_salinity_standards,Relaxed Delta salinity standards,,4,Relax Fall X2 Delta salinity standard by XX,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
10,TUCP_TUCO,TUCP's and TUCO's,,5,,2,True,,2,2,2024-01-01 00:00:00+00:00,2026-03-16 22:42:39.935147+00:00
