id,scenario_short_code,aggregate_code,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,shortage_avg_taf,shortage_cv,shortage_frequency_pct,sample_count,is_active,created_at,created_by,updated_at,updated_by
12841,s0011,swp_pag,1,103.54,0.2764,30.86,72.73,94.34,107.02,120.33,137.13,152.26,142.09,137.13,122.66,107.02,89.13,72.73,35.07,0.35,9.9595,2.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12842,s0011,swp_pag,2,92.05,0.2868,8.42,79.86,88.47,99.55,105.81,112.20,122.18,117.41,112.20,106.46,99.55,86.80,79.86,11.61,0.53,8.4311,2.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12843,s0011,swp_pag,3,75.47,0.2812,4.56,58.38,68.91,82.04,86.96,95.02,101.31,97.72,95.02,88.60,82.04,67.99,58.38,23.59,0.58,8.0184,2.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12844,s0011,swp_pag,4,41.83,0.1684,5.35,35.59,39.57,42.80,45.14,48.25,56.11,49.78,48.25,45.62,42.80,38.82,35.59,33.39,0.00,0.0000,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12845,s0011,swp_pag,5,4.59,0.9730,0.00,0.01,0.64,3.96,7.10,11.25,15.04,12.65,11.25,7.41,3.96,0.21,0.01,0.00,0.00,0.0000,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12846,s0011,swp_pag,6,6.34,0.7086,0.78,1.78,3.81,4.82,6.52,12.03,18.31,16.79,12.03,7.69,4.82,2.98,1.78,1.50,0.00,0.0000,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12847,s0011,swp_pag,7,54.81,0.2298,25.78,36.15,49.56,57.27,61.88,67.70,83.82,73.97,67.70,62.93,57.27,47.61,36.15,30.83,0.00,0.0000,1.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12848,s0011,swp_pag,8,210.84,0.1628,100.61,184.44,199.67,215.53,228.93,251.57,265.99,254.93,251.57,232.68,215.53,194.74,184.44,119.48,0.00,0.0000,1.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12849,s0011,swp_pag,9,271.63,0.1932,120.68,206.91,263.61,285.82,300.81,325.77,347.05,330.90,325.77,305.38,285.82,251.27,206.91,137.14,0.00,0.0000,1.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
12850,s0011,swp_pag,10,318.02,0.1989,132.77,239.34,305.46,339.15,355.90,381.24,394.94,389.73,381.24,356.95,339.15,287.97,239.34,160.87,0.00,0.0000,1.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
