id,scenario_short_code,aggregate_code,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,is_active,created_at,created_by,updated_at,updated_by
1071,s0011,swp_pag,1922,2021,100,1549.81,0.1718,1849.26,1818.25,1749.85,1617.74,1422.18,1203.38,920.90,1.94,5,5.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.87,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1072,s0011,swp_pag_n,1922,2021,100,1055.55,0.0913,1126.84,1124.69,1108.39,1088.35,1052.46,919.80,793.10,0.02,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1073,s0011,swp_pag_s,1922,2021,100,494.26,0.4380,809.66,752.66,659.68,530.90,345.06,144.17,91.59,1.92,3,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.61,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1074,s0011,cvp_pag_n,1922,2021,100,321.58,0.3803,419.01,412.61,404.34,385.86,293.41,63.29,44.54,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1075,s0011,cvp_pag_s,1922,2021,100,1117.73,0.5043,1829.72,1718.49,1615.63,1218.45,699.80,204.80,69.28,4.25,51,51.00,17.66,5.23,3.62,0.71,0.00,0.00,0.00,99.62,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1076,s0011,cvp_psc_n,1922,2021,100,1598.42,0.0417,1695.16,1674.13,1650.50,1613.80,1542.52,1502.09,1492.24,0.12,7,7.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,99.99,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1077,s0011,cvp_pex_s,1922,2021,100,812.98,0.0823,894.65,879.29,855.60,825.42,783.72,702.79,687.72,1.51,4,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.81,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1078,s0011,nod_ag,1922,2021,100,2975.55,0.0783,3195.74,3180.46,3125.22,3058.75,2944.58,2663.45,2398.43,0.14,9,9.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1079,s0011,sod_ag,1922,2021,100,2424.97,0.3284,3384.10,3281.51,3105.32,2599.77,1880.61,1061.39,858.63,7.68,53,53.00,27.03,9.26,3.69,0.77,0.00,0.00,0.00,99.68,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
1080,s0022,swp_pag,1922,2021,100,1275.57,0.2207,1611.31,1558.70,1501.32,1358.67,1132.13,893.40,653.20,3.71,5,5.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,99.71,True,2026-04-08 19:40:31.834415+00:00,1,2026-04-08 19:40:31.834415+00:00,2
