id,scenario_short_code,du_id,water_month,gw_pumping_avg_taf,gw_pumping_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,is_calculated,sample_count,is_active,created_at,created_by,updated_at,updated_by
247261,s0011,02_NA,1,0.24,0.7680,0.00,0.00,0.09,0.26,0.36,0.46,0.70,0.48,0.46,0.39,0.26,0.03,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247262,s0011,02_NA,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247263,s0011,02_NA,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247264,s0011,02_NA,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247265,s0011,02_NA,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247266,s0011,02_NA,6,0.03,2.4724,0.00,0.00,0.00,0.00,0.00,0.12,0.35,0.16,0.12,0.00,0.00,0.00,0.00,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247267,s0011,02_NA,7,0.40,0.6188,0.00,0.02,0.28,0.42,0.59,0.74,0.83,0.77,0.74,0.61,0.42,0.20,0.02,0.00,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247268,s0011,02_NA,8,0.64,0.3834,0.00,0.25,0.54,0.69,0.80,0.93,1.01,0.95,0.93,0.82,0.69,0.51,0.25,0.20,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247269,s0011,02_NA,9,0.91,0.2458,0.44,0.63,0.81,0.95,1.02,1.08,1.79,1.13,1.08,1.04,0.95,0.76,0.63,0.54,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
247270,s0011,02_NA,10,1.18,0.2170,0.65,0.99,1.07,1.09,1.13,1.55,2.21,1.69,1.55,1.14,1.09,1.05,0.99,0.96,False,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
