id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_demand_avg_taf,annual_demand_cv,demand_exc_p5,demand_exc_p10,demand_exc_p25,demand_exc_p50,demand_exc_p75,demand_exc_p90,demand_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,annual_shortage_pct_of_demand,reliability_pct,avg_pct_demand_met,is_active,created_at,created_by,updated_at,updated_by,annual_sw_delivery_avg_taf,annual_sw_delivery_cv,annual_gw_pumping_avg_taf,annual_gw_pumping_cv,gw_pumping_pct_of_demand,sw_delivery_exc_p5,sw_delivery_exc_p10,sw_delivery_exc_p25,sw_delivery_exc_p50,sw_delivery_exc_p75,sw_delivery_exc_p90,sw_delivery_exc_p95,gw_pumping_exc_p5,gw_pumping_exc_p10,gw_pumping_exc_p25,gw_pumping_exc_p50,gw_pumping_exc_p75,gw_pumping_exc_p90,gw_pumping_exc_p95,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
18416,s0011,02_NA,1922,2021,100,9.44,0.1248,11.27,10.70,10.21,9.70,8.63,7.65,7.37,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,4.27,0.1458,5.17,0.1903,54.77,5.19,5.04,4.77,4.3,3.86,3.47,3.25,6.76,6.42,5.72,5.21,4.49,3.83,3.68,,,,,,,
18417,s0011,02_PA,1922,2021,100,4.88,0.1188,5.77,5.51,5.26,5.01,4.48,3.99,3.82,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,3.34,0.4394,1.06,1.5478,21.72,4.87,4.66,4.37,3.72,3.01,0.6,0.06,4.73,4.07,1.69,0.05,0.0,0.0,0.0,,,,,,,
18418,s0011,02_SA,1922,2021,100,34.27,0.1234,40.91,38.87,37.08,35.25,31.32,27.77,26.72,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,30.99,0.1127,2.43,0.5900,7.09,35.73,35.01,33.32,31.71,28.71,25.45,24.49,5.65,3.01,2.23,2.06,1.83,1.62,1.56,,,,,,,
18419,s0011,03_NA,1922,2021,100,16.15,0.1239,19.17,18.45,17.37,16.43,14.86,13.27,12.62,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,11.62,0.1141,3.72,0.2369,23.03,13.65,13.31,12.46,11.76,10.86,9.78,9.35,5.42,5.05,4.1,3.52,3.17,2.77,2.64,,,,,,,
18420,s0011,03_PA,1922,2021,100,6.78,0.1288,8.13,7.78,7.34,6.96,6.19,5.43,5.24,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,5.28,0.4197,1.16,2.0380,17.11,7.4,7.11,6.7,6.06,5.05,0.46,0.0,6.89,6.55,0.25,0.07,0.06,0.05,0.05,,,,,,,
18421,s0011,03_SA,1922,2021,100,4.25,0.1273,5.06,4.86,4.60,4.36,3.88,3.44,3.32,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,4.09,0.1229,0.05,1.1904,1.18,4.84,4.69,4.43,4.21,3.75,3.32,3.2,0.08,0.05,0.05,0.04,0.04,0.03,0.03,,,,,,,
18422,s0011,04_NA,1922,2021,100,223.31,0.0978,254.22,246.65,237.03,228.00,210.80,190.08,188.10,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,13.20,0.2160,187.41,0.1107,83.92,17.49,16.6,14.93,13.61,11.87,9.72,7.92,217.26,209.86,200.7,191.44,175.67,155.61,153.55,,,,,,,
18423,s0011,04_PA1,1922,2021,100,36.90,0.0926,41.65,40.60,39.03,37.68,34.98,31.71,31.37,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,18.08,0.4599,16.58,0.5926,44.93,25.95,25.34,23.92,21.1,15.29,1.14,0.0,37.57,35.69,21.5,11.37,10.05,9.11,8.83,,,,,,,
18424,s0011,04_PA2,1922,2021,100,1.66,0.0998,1.90,1.84,1.77,1.69,1.57,1.41,1.39,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.98,0.4451,0.60,0.8296,36.14,1.37,1.34,1.26,1.14,0.94,0.07,0.0,1.71,1.63,0.74,0.34,0.3,0.27,0.26,,,,,,,
18425,s0011,05_NA,1922,2021,100,287.04,0.0875,325.20,314.46,303.27,291.39,272.38,252.57,243.41,,,,,100.00,100.00,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,58.02,0.1755,228.88,0.1299,79.74,73.44,70.73,66.95,57.78,50.55,44.5,43.35,275.14,261.59,248.48,232.78,205.9,187.73,183.62,,,,,,,
