id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_demand_avg_taf,annual_demand_cv,demand_exc_p5,demand_exc_p10,demand_exc_p25,demand_exc_p50,demand_exc_p75,demand_exc_p90,demand_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,annual_shortage_pct_of_demand,reliability_pct,avg_pct_demand_met,is_active,created_at,created_by,updated_at,updated_by,annual_sw_delivery_avg_taf,annual_sw_delivery_cv,annual_gw_pumping_avg_taf,annual_gw_pumping_cv,gw_pumping_pct_of_demand,sw_delivery_exc_p5,sw_delivery_exc_p10,sw_delivery_exc_p25,sw_delivery_exc_p50,sw_delivery_exc_p75,sw_delivery_exc_p90,sw_delivery_exc_p95,gw_pumping_exc_p5,gw_pumping_exc_p10,gw_pumping_exc_p25,gw_pumping_exc_p50,gw_pumping_exc_p75,gw_pumping_exc_p90,gw_pumping_exc_p95,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
28371,s0105,91_PA,1922,2021,100,148.23,0.0789,165.06,162.59,155.62,150.17,140.78,133.65,126.10,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,45.88,0.4150,91.23,0.2916,61.55,76.54,74.57,62.65,41.86,30.74,24.24,21.41,127.52,119.76,112.66,98.72,67.53,54.8,47.88,,,,,,,
28370,s0105,90_PA2,1922,2021,100,706.26,0.0759,776.48,769.34,744.46,713.09,678.79,639.02,599.21,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,104.78,0.7957,530.86,0.2160,75.16,232.38,218.92,180.19,92.9,23.18,0.88,0.0,690.3,666.83,631.65,549.07,419.97,375.73,356.68,,,,,,,
28369,s0105,90_PA1,1922,2021,100,874.70,0.0742,962.85,951.90,922.70,880.85,841.70,792.21,748.10,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,343.27,0.7655,443.96,0.6581,50.76,727.66,667.4,584.33,317.98,81.76,3.1,0.0,839.85,807.04,728.78,478.22,158.17,47.89,27.19,,,,,,,
28368,s0105,73_XA,1922,2021,100,71.67,0.0860,80.09,79.34,75.87,72.45,68.82,63.59,60.24,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,60.40,0.1198,5.89,1.2832,8.22,68.9,67.59,65.61,61.79,56.38,52.03,45.79,21.55,16.92,6.62,3.44,1.0,0.0,0.0,,,,,,,
28367,s0105,73_PA3,1922,2021,100,228.59,0.0880,257.90,253.56,241.76,231.80,216.29,200.18,191.13,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,66.52,0.7922,144.92,0.4442,63.40,148.31,141.35,115.25,63.09,14.44,0.59,0.0,229.98,219.95,206.73,160.42,81.17,56.12,51.18,,,,,,,
28366,s0105,73_PA2,1922,2021,100,28.92,0.1030,33.32,32.50,30.75,29.54,26.98,24.89,23.81,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,3.22,0.7756,23.54,0.1926,81.40,7.17,6.9,5.26,3.05,0.86,0.04,0.0,30.05,28.82,27.12,24.55,19.92,17.13,16.66,,,,,,,
28365,s0105,73_PA1,1922,2021,100,27.18,0.1102,31.35,30.69,29.14,28.00,25.26,23.00,22.07,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,13.17,0.6214,11.98,0.7868,44.08,24.6,22.78,19.89,14.93,5.82,0.41,0.0,27.11,26.17,20.43,10.13,3.72,0.0,0.0,,,,,,,
28364,s0105,73_NA,1922,2021,100,22.31,0.0895,25.23,24.66,23.57,22.74,21.14,19.85,18.91,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.0000,22.31,0.0895,100.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.23,24.66,23.57,22.74,21.14,19.85,18.91,,,,,,,
28363,s0105,72_XA3,1922,2021,100,288.17,0.0850,322.20,319.11,305.12,292.68,273.07,252.79,244.61,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,115.53,0.1210,158.23,0.1744,54.91,129.09,127.75,124.48,118.93,112.64,98.71,83.93,206.63,191.82,170.92,158.13,141.06,125.01,119.13,,,,,,,
28362,s0105,72_XA2,1922,2021,100,239.48,0.0819,266.21,263.79,253.15,243.25,227.41,213.66,204.61,,,,,100.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,223.63,0.0971,3.87,3.7240,1.62,252.9,249.46,238.84,228.0,210.54,194.37,176.61,16.37,6.75,0.0,0.0,0.0,0.0,0.0,,,,,,,
