id,scenario_short_code,du_id,water_month,shortage_avg_taf,shortage_cv,shortage_frequency_pct,shortage_pct_of_demand_avg,q0,q10,q30,q50,q70,q90,q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95
107281,s0011,26N_NA,1,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107282,s0011,26N_NA,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107283,s0011,26N_NA,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107284,s0011,26N_NA,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107285,s0011,26N_NA,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107286,s0011,26N_NA,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107287,s0011,26N_NA,7,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107288,s0011,26N_NA,8,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107289,s0011,26N_NA,9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107290,s0011,26N_NA,10,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
