id,scenario_short_code,du_id,water_month,shortage_avg_taf,shortage_cv,shortage_frequency_pct,shortage_pct_of_demand_avg,q0,q10,q30,q50,q70,q90,q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95
174948,s0105,26S_NA,12,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174947,s0105,26S_NA,11,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174946,s0105,26S_NA,10,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174945,s0105,26S_NA,9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174944,s0105,26S_NA,8,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174943,s0105,26S_NA,7,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174942,s0105,26S_NA,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174941,s0105,26S_NA,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174940,s0105,26S_NA,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174939,s0105,26S_NA,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
