id,scenario_short_code,cws_aggregate_id,water_month,delivery_avg_taf,delivery_cv,delivery_q0,delivery_q10,delivery_q30,delivery_q50,delivery_q70,delivery_q90,delivery_q100,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,shortage_avg_taf,shortage_cv,shortage_frequency_pct,shortage_q0,shortage_q10,shortage_q30,shortage_q50,shortage_q70,shortage_q90,shortage_q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
15817,s0011,1,1,184.02,0.4465,8.12,58.04,146.98,198.51,237.83,286.44,292.12,287.58,286.44,245.72,198.51,119.26,58.04,42.52,10.35,2.7216,75.00,0.00,0.00,0.86,0.86,0.86,33.43,219.74,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,194.36,94.68,55.00,33.43,1.68,0.86,0.64,0.00,0.00
15818,s0011,1,2,171.69,0.4811,6.97,50.79,116.77,184.63,222.69,282.28,292.39,285.67,282.28,236.71,184.63,100.51,50.79,28.79,13.91,3.1824,45.00,0.00,0.00,0.00,0.00,0.81,39.65,335.36,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,185.60,92.51,88.02,39.65,0.84,0.00,0.00,0.00,0.00
15819,s0011,1,3,162.59,0.4423,7.54,56.94,129.43,177.89,206.78,258.61,273.30,265.14,258.61,218.20,177.89,109.47,56.94,37.68,25.80,2.7856,40.00,0.00,0.00,0.00,0.00,13.94,57.84,551.10,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,188.38,86.31,95.07,57.84,20.87,0.00,0.00,0.00,0.00
15820,s0011,1,4,24.99,1.1426,2.83,3.13,3.81,16.87,29.05,70.28,112.23,96.69,70.28,31.26,16.87,3.38,3.13,3.03,0.02,7.0353,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,25.01,99.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15821,s0011,1,5,30.23,0.9700,1.92,1.93,5.62,25.47,38.58,73.98,107.90,88.28,73.98,40.43,25.47,2.28,1.93,1.92,0.04,4.3809,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,30.28,99.83,0.04,0.00,0.00,0.00,0.00,0.00,0.00
15822,s0011,1,6,47.17,0.6750,5.23,14.11,25.16,36.02,57.82,90.23,118.97,112.84,90.23,69.52,36.02,23.29,14.11,12.20,0.04,4.3809,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,47.21,99.92,0.04,0.00,0.00,0.00,0.00,0.00,0.00
15823,s0011,1,7,92.07,0.5017,7.03,28.99,69.66,92.87,116.00,153.79,188.90,179.20,153.79,119.15,92.87,60.01,28.99,17.12,0.11,3.4950,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,92.17,99.89,1.20,0.00,0.00,0.00,0.00,0.00,0.00
15824,s0011,1,8,124.89,0.5000,7.81,30.82,91.45,147.58,165.16,204.01,223.13,207.90,204.01,171.42,147.58,65.25,30.82,18.36,0.24,2.6177,13.00,0.00,0.00,0.00,0.00,0.00,1.83,2.22,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,125.13,99.81,1.83,1.83,0.00,0.00,0.00,0.00,0.00
15825,s0011,1,9,137.34,0.4582,9.23,38.05,112.01,157.32,175.47,215.56,234.89,219.55,215.56,181.69,157.32,81.82,38.05,22.38,0.69,1.4661,33.00,0.00,0.00,0.00,0.00,1.53,2.11,2.62,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,138.03,99.50,2.58,2.11,1.68,0.00,0.00,0.00,0.00
15826,s0011,1,10,160.34,0.4949,6.91,37.55,124.19,186.01,208.43,261.74,281.00,266.81,261.74,217.23,186.01,86.84,37.55,21.21,0.80,1.0987,53.00,0.00,0.00,0.00,0.69,1.35,1.92,4.28,100,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,161.15,99.50,1.92,1.92,1.86,0.69,0.00,0.00,0.00
