id,scenario_short_code,cws_aggregate_id,water_month,delivery_avg_taf,delivery_cv,delivery_q0,delivery_q10,delivery_q30,delivery_q50,delivery_q70,delivery_q90,delivery_q100,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,shortage_avg_taf,shortage_cv,shortage_frequency_pct,shortage_q0,shortage_q10,shortage_q30,shortage_q50,shortage_q70,shortage_q90,shortage_q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
21288,s0105,4,12,101.49,0.7336,0.00,7.01,34.06,112.52,167.15,194.28,198.70,195.81,194.28,171.13,112.52,29.73,7.01,0.07,17.25,2.7451,28.00,0.00,0.00,0.00,0.00,0.00,45.05,207.51,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,63.71,141.51,45.05,3.43,0.00,0.00,0.00,0.00
21287,s0105,4,11,95.19,0.7516,0.00,10.81,25.82,94.96,157.16,187.77,191.12,189.29,187.77,161.31,94.96,24.06,10.81,0.00,8.90,3.3377,21.00,0.00,0.00,0.00,0.00,0.00,7.53,155.37,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,59.76,75.32,7.53,0.00,0.00,0.00,0.00,0.00
21286,s0105,4,10,90.70,0.7134,0.00,10.11,24.06,112.41,142.33,172.21,181.17,175.63,172.21,146.56,112.41,21.12,10.11,9.10,2.73,4.9586,4.00,0.00,0.00,0.00,0.00,0.00,0.00,76.43,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,56.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21285,s0105,4,9,76.92,0.6310,0.00,10.78,28.90,94.14,114.37,136.82,143.93,139.54,136.82,116.97,94.14,23.64,10.78,9.74,0.25,10.0000,1.00,0.00,0.00,0.00,0.00,0.00,0.00,25.37,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,48.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21284,s0105,4,8,74.20,0.6801,0.00,8.92,24.77,87.20,115.00,139.14,146.38,141.91,139.14,118.09,87.20,19.55,8.92,8.06,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,46.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21283,s0105,4,7,52.87,0.6997,0.00,8.40,20.49,52.49,72.39,112.94,130.41,126.05,112.94,75.12,52.49,17.88,8.40,7.35,0.00,0.0000,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,33.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21282,s0105,4,6,26.81,0.7980,0.00,6.20,11.32,18.14,39.36,52.12,75.81,72.86,52.12,49.03,18.14,9.89,6.20,4.80,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,16.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21281,s0105,4,5,14.95,1.4426,0.00,0.00,0.00,1.59,17.13,54.96,66.81,57.99,54.96,20.34,1.59,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,9.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21280,s0105,4,4,8.47,1.8432,0.00,0.00,0.00,0.00,5.97,30.24,65.27,46.79,30.24,13.33,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,5.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21279,s0105,4,3,111.97,0.6032,0.00,18.27,52.58,128.69,158.82,189.67,257.49,193.08,189.67,161.57,128.69,42.69,18.27,14.71,49.75,2.2089,57.00,0.00,0.00,0.00,6.61,30.74,132.47,631.00,100,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,159.29,70.29,248.28,132.47,46.05,6.61,0.00,0.00,0.00
