id,scenario_short_code,cws_aggregate_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,annual_delivery_min_taf,annual_delivery_max_taf,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_allocation_met,is_active,created_at,created_by,updated_at,updated_by,annual_demand_avg_taf,avg_pct_demand_met
1315,s0011,1,1922,2021,100,1494.44,0.3971,,,2249.73,2191.49,1975.09,1585.68,1036.86,589.86,371.23,59.99,98,98.00,271.27,164.80,43.95,8.34,2.90,1.81,0.86,96.14,96.14,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,1554.42,96.14
1316,s0011,5,1922,2021,100,24.22,0.1588,,,29.60,28.75,27.94,24.21,20.97,19.24,18.07,3.62,92,92.00,8.25,7.44,5.55,2.93,0.86,0.79,0.00,87.00,87.00,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,27.84,87.00
1317,s0011,6,1922,2021,100,1470.22,0.4019,,,2220.98,2162.75,1947.20,1560.41,1015.96,567.44,350.61,56.37,69,69.00,270.90,162.38,42.84,2.85,0.00,0.00,0.00,96.31,96.31,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,1526.59,96.31
1318,s0011,2,1922,2021,100,136.06,0.1328,,,168.56,163.49,133.27,132.74,128.20,121.39,117.76,,,,,,,,,,,,,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,,
1319,s0011,3,1922,2021,100,136.26,0.1930,,,164.86,164.53,158.41,142.22,121.66,92.96,81.95,0.19,55,55.00,0.26,0.26,0.24,0.16,0.03,0.00,0.00,99.86,99.86,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,136.45,99.86
1320,s0011,4,1922,2021,100,954.67,0.4192,,,1480.15,1433.95,1284.69,988.33,650.36,351.98,224.49,43.09,52,52.00,198.14,120.32,32.65,1.61,0.00,0.00,0.00,97.75,97.75,True,2026-04-08 19:33:37.843745+00:00,1,2026-04-08 19:33:37.843745+00:00,2,1911.50,49.94
1321,s0021,1,1922,2021,100,1506.19,0.4048,,,2359.45,2220.37,2046.98,1587.49,1030.79,535.11,392.14,67.06,92,92.00,301.36,181.94,58.69,8.77,2.18,0.81,0.00,95.74,95.74,True,2026-04-08 19:33:46.394350+00:00,1,2026-04-08 19:33:46.394350+00:00,2,1573.25,95.74
1322,s0021,5,1922,2021,100,25.69,0.1507,,,29.60,29.60,28.75,27.58,22.46,19.23,18.54,2.18,78,78.00,6.48,5.56,3.20,1.42,0.84,0.00,0.00,92.18,92.18,True,2026-04-08 19:33:46.394350+00:00,1,2026-04-08 19:33:46.394350+00:00,2,27.86,92.21
1323,s0021,6,1922,2021,100,1480.50,0.4099,,,2330.66,2190.85,2017.38,1560.01,1004.71,517.14,371.69,64.89,72,72.00,298.53,173.42,55.31,5.96,0.00,0.00,0.00,95.80,95.80,True,2026-04-08 19:33:46.394350+00:00,1,2026-04-08 19:33:46.394350+00:00,2,1545.38,95.80
1324,s0021,2,1922,2021,100,134.69,0.1343,,,168.46,163.38,133.27,132.65,126.96,120.50,114.03,,,,,,,,,,,,,True,2026-04-08 19:33:46.394350+00:00,1,2026-04-08 19:33:46.394350+00:00,2,,
