id,scenario_short_code,cws_aggregate_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,annual_delivery_min_taf,annual_delivery_max_taf,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_allocation_met,is_active,created_at,created_by,updated_at,updated_by,annual_demand_avg_taf,avg_pct_demand_met
1770,s0105,4,1922,2021,100,872.88,0.5326,,,1504.36,1458.90,1294.16,923.20,531.90,217.99,173.50,131.45,76,76.00,585.36,421.21,118.47,21.23,1.57,0.00,0.00,93.12,93.12,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,1911.50,45.66
1769,s0105,3,1922,2021,100,117.43,0.3047,,,164.68,162.99,148.32,123.13,91.53,66.24,54.83,0.59,53,53.00,4.49,0.83,0.24,0.15,0.04,0.00,0.00,99.50,99.50,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,118.02,99.50
1768,s0105,2,1922,2021,100,148.33,0.2193,,,193.56,182.20,169.88,150.50,138.46,101.86,82.58,,,,,,,,,,,,,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,,
1767,s0105,6,1922,2021,100,1267.83,0.5104,,,2142.63,2073.94,1845.93,1341.09,786.36,349.21,233.27,177.99,85,85.00,747.66,528.16,163.40,26.41,2.97,0.00,0.00,87.69,87.69,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,1445.83,87.69
1766,s0105,5,1922,2021,100,19.79,0.2407,,,27.87,27.25,22.70,18.75,17.12,14.95,11.66,7.58,100,100.00,13.17,12.23,9.84,8.02,5.18,2.27,1.66,72.31,72.31,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,27.37,72.31
1765,s0105,1,1922,2021,100,1287.62,0.5053,,,2161.57,2101.17,1866.51,1359.75,805.80,366.20,249.41,185.57,100,100.00,753.84,533.89,166.18,30.50,13.14,7.93,5.15,87.40,87.40,True,2026-04-08 23:49:07.459189+00:00,1,2026-04-08 23:49:07.459189+00:00,2,1473.19,87.40
1764,s0104,4,1922,2021,100,856.51,0.4422,,,1426.89,1365.90,1165.79,832.19,574.78,329.56,274.60,16.55,39,39.00,89.53,68.95,11.45,0.00,0.00,0.00,0.00,99.13,99.13,True,2026-04-08 23:48:17.828966+00:00,1,2026-04-08 23:48:17.828966+00:00,2,1911.50,44.81
1763,s0104,3,1922,2021,100,126.38,0.1634,,,164.54,159.77,141.96,124.07,108.40,107.19,102.89,0.08,34,34.00,0.26,0.23,0.15,0.08,0.00,0.00,0.00,99.94,99.94,True,2026-04-08 23:48:17.828966+00:00,1,2026-04-08 23:48:17.828966+00:00,2,126.46,99.94
1762,s0104,2,1922,2021,100,131.31,0.1581,,,166.55,159.95,139.37,127.61,120.62,112.39,103.14,,,,,,,,,,,,,True,2026-04-08 23:48:17.828966+00:00,1,2026-04-08 23:48:17.828966+00:00,2,,
1761,s0104,6,1922,2021,100,1322.56,0.4228,,,2143.01,2071.71,1781.57,1303.47,919.79,533.45,454.27,20.01,45,45.00,111.24,70.74,12.44,0.00,0.00,0.00,0.00,98.51,98.51,True,2026-04-08 23:48:17.828966+00:00,1,2026-04-08 23:48:17.828966+00:00,2,1342.57,98.51
