id,scenario_short_code,variable_code,label,category,native_unit,simulation_start_year,simulation_end_year,total_years,summary_data,created_at,created_by,updated_at,updated_by
1057,s0011,ndo,Net Delta Outflow,outflow,CFS,1922,2021,100,"{'exc_p5': 38703.072, 'avg_cfs': 21872.75, 'exc_p10': 33259.098, 'exc_p25': 21849.967, 'exc_p50': 10390.655, 'exc_p75': 6829.924, 'exc_p90': 5047.331, 'exc_p95': 4102.48, 'sept_cv': 0.6457, 'annual_cv': 0.7565, 'sept_avg_taf': 392.493, 'annual_avg_taf': 15731.47}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1058,s0011,x2,X2 Position (2 ppt isohaline),x2,KM,1922,2021,100,"{'cv': 0.1401, 'avg_km': 74.93, 'exc_p5': 88.89, 'exc_p10': 87.486, 'exc_p25': 82.792, 'exc_p50': 77.551, 'exc_p75': 68.406, 'exc_p90': 58.585, 'exc_p95': 54.113, 'fall_cv': 0.0643, 'sept_cv': 0.0577, 'april_cv': 0.151, 'spring_cv': 0.1457, 'fall_avg_km': 83.33, 'sept_avg_km': 83.29, 'sept_exc_p5': 90.233, 'april_avg_km': 64.33, 'april_exc_p5': 78.671, 'sept_exc_p10': 89.703, 'sept_exc_p25': 86.724, 'sept_exc_p50': 84.217, 'sept_exc_p75': 80.557, 'sept_exc_p90': 78.056, 'sept_exc_p95': 74.513, 'april_exc_p10': 77.753, 'april_exc_p25': 71.801, 'april_exc_p50': 65.671, 'april_exc_p75': 56.439, 'april_exc_p90': 50.574, 'april_exc_p95': 49.304, 'spring_avg_km': 65.64}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1059,s0011,em_ec,Emmaton EC,salinity_compliance,UMHOS/CM,1922,2021,100,"{'cv': 1.0851, 'avg_ec': 894.15, 'exc_p5': 3095.655, 'exc_p10': 2618.327, 'exc_p25': 1187.23, 'exc_p50': 425.341, 'exc_p75': 196.693, 'exc_p90': 186.19, 'exc_p95': 184.792, 'fall_cv': 0.7502, 'spring_cv': 0.8766, 'fall_avg_ec': 1531.56, 'spring_avg_ec': 293.46, 'exceed_low_pct': 31.17, 'exceed_mid_pct': 20.42, 'exceed_high_pct': 10.58, 'exceed_d1641_pct': 46.17}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1060,s0011,jp_ec,Jersey Point EC,salinity_compliance,UMHOS/CM,1922,2021,100,"{'cv': 0.8084, 'avg_ec': 737.57, 'exc_p5': 1795.203, 'exc_p10': 1742.745, 'exc_p25': 1219.905, 'exc_p50': 434.322, 'exc_p75': 238.849, 'exc_p90': 219.94, 'exc_p95': 205.05, 'fall_cv': 0.5625, 'spring_cv': 0.6345, 'fall_avg_ec': 1084.96, 'spring_avg_ec': 314.02, 'exceed_low_pct': 32.58, 'exceed_mid_pct': 16.5, 'exceed_high_pct': 0.0, 'exceed_d1641_pct': 48.67}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1061,s0011,rs_ec,Rock Slough EC,salinity_compliance,UMHOS/CM,1922,2021,100,"{'cv': 0.5029, 'avg_ec': 423.24, 'exc_p5': 855.309, 'exc_p10': 764.291, 'exc_p25': 588.8, 'exc_p50': 319.193, 'exc_p75': 265.737, 'exc_p90': 227.432, 'exc_p95': 208.037, 'fall_cv': 0.4398, 'spring_cv': 0.316, 'fall_avg_ec': 471.14, 'spring_avg_ec': 324.98, 'exceed_low_pct': 3.5, 'exceed_mid_pct': 0.0, 'exceed_high_pct': 0.0, 'exceed_d1641_pct': 34.08}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1062,s0011,co_ec,Collinsville EC,salinity_compliance,UMHOS/CM,1922,2021,100,"{'cv': 0.9516, 'avg_ec': 3565.42, 'exc_p5': 10090.846, 'exc_p10': 9319.406, 'exc_p25': 5846.929, 'exc_p50': 2476.073, 'exc_p75': 410.199, 'exc_p90': 203.314, 'exc_p95': 199.978, 'fall_cv': 0.5547, 'spring_cv': 1.4104, 'fall_avg_ec': 6018.8, 'spring_avg_ec': 988.69, 'exceed_low_pct': 67.75, 'exceed_mid_pct': 60.42, 'exceed_high_pct': 49.17, 'exceed_d1641_pct': 74.25}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1063,s0011,banks_ec,Banks Pumping Plant EC (14-day max),salinity_pumps,UMHOS/CM,1922,2021,100,"{'cv': 0.3434, 'avg_ec': 382.52, 'exc_p5': 645.217, 'exc_p10': 594.044, 'exc_p25': 488.663, 'exc_p50': 313.523, 'exc_p75': 276.466, 'exc_p90': 264.758, 'exc_p95': 257.917, 'fall_cv': 0.2972, 'spring_cv': 0.2081, 'fall_avg_ec': 410.56, 'spring_avg_ec': 316.06, 'exceed_low_pct': 0.0, 'exceed_mid_pct': 0.0, 'exceed_high_pct': 0.0, 'exceed_d1641_pct': 30.58}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1064,s0011,tracy_ec,Tracy/Jones Pumping Plant EC (14-day max),salinity_pumps,UMHOS/CM,1922,2021,100,"{'cv': 0.2455, 'avg_ec': 437.99, 'exc_p5': 653.059, 'exc_p10': 611.164, 'exc_p25': 524.889, 'exc_p50': 381.501, 'exc_p75': 351.162, 'exc_p90': 341.577, 'exc_p95': 335.977, 'fall_cv': 0.2167, 'spring_cv': 0.1404, 'fall_avg_ec': 460.95, 'spring_avg_ec': 383.58, 'exceed_low_pct': 0.0, 'exceed_mid_pct': 0.0, 'exceed_high_pct': 0.0, 'exceed_d1641_pct': 36.0}",2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
1065,s0022,ndo,Net Delta Outflow,outflow,CFS,1922,2021,100,"{'exc_p5': 39899.709, 'avg_cfs': 21859.97, 'exc_p10': 32997.245, 'exc_p25': 21744.795, 'exc_p50': 10280.262, 'exc_p75': 6691.407, 'exc_p90': 5183.113, 'exc_p95': 4535.669, 'sept_cv': 0.6449, 'annual_cv': 0.7552, 'sept_avg_taf': 392.088, 'annual_avg_taf': 15718.78}",2026-04-08 19:41:23.769809+00:00,1,2026-04-08 19:41:23.769809+00:00,2
1066,s0022,x2,X2 Position (2 ppt isohaline),x2,KM,1922,2021,100,"{'cv': 0.1387, 'avg_km': 74.85, 'exc_p5': 88.658, 'exc_p10': 86.81, 'exc_p25': 82.796, 'exc_p50': 77.222, 'exc_p75': 68.575, 'exc_p90': 58.767, 'exc_p95': 54.152, 'fall_cv': 0.066, 'sept_cv': 0.0561, 'april_cv': 0.1478, 'spring_cv': 0.1418, 'fall_avg_km': 83.4, 'sept_avg_km': 83.51, 'sept_exc_p5': 89.24, 'april_avg_km': 64.34, 'april_exc_p5': 78.207, 'sept_exc_p10': 88.722, 'sept_exc_p25': 86.829, 'sept_exc_p50': 84.306, 'sept_exc_p75': 80.693, 'sept_exc_p90': 78.603, 'sept_exc_p95': 74.23, 'april_exc_p10': 76.266, 'april_exc_p25': 72.137, 'april_exc_p50': 65.932, 'april_exc_p75': 56.434, 'april_exc_p90': 50.585, 'april_exc_p95': 49.38, 'spring_avg_km': 65.55}",2026-04-08 19:41:23.769809+00:00,1,2026-04-08 19:41:23.769809+00:00,2
