id,scenario_short_code,du_id,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg
183181,s0011,24_NU2,1,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,2.09,0.00
183182,s0011,24_NU2,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,1.30,0.00
183183,s0011,24_NU2,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,1.04,0.00
183184,s0011,24_NU2,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,1.02,0.00
183185,s0011,24_NU2,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.92,0.00
183186,s0011,24_NU2,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,1.13,0.00
183187,s0011,24_NU2,7,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,1.45,0.00
183188,s0011,24_NU2,8,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,2.24,0.00
183189,s0011,24_NU2,9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,2.73,0.00
183190,s0011,24_NU2,10,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,3.25,0.00
