id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_demand_met,annual_demand_avg_taf,is_active,created_at,created_by,updated_at,updated_by
14618,s0011,24_NU2,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,23.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14619,s0011,24_NU3,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,2.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14620,s0011,25_PU,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,18.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14621,s0011,26N_NU3,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14622,s0011,26N_PU2,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14623,s0011,26N_PU3,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14624,s0011,26S_NU3,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14625,s0011,61_NU2,1922,2021,100,0.17,0.0165,0.17,0.17,0.17,0.17,0.17,0.17,0.17,,,,,,,,,,,0.67,0.67,26.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14626,s0011,62_NU,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,36.00,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
14627,s0011,90_PU,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,16.50,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2
