id,network_arc_id,scenario_short_code,simulation_start_year,simulation_end_year,total_months,pearson_r,p_value,avg_pct_unimpaired,annual_cv_pct_unimpaired,avg_pct_ff,annual_cv_pct_ff,mif_met_pct,is_active,created_at,updated_at,created_by,updated_by,flow_exc_p5_cfs,flow_exc_p10_cfs,flow_exc_p25_cfs,flow_exc_p50_cfs,flow_exc_p75_cfs,flow_exc_p90_cfs,flow_exc_p95_cfs,flow_exc_p5_taf,flow_exc_p10_taf,flow_exc_p25_taf,flow_exc_p50_taf,flow_exc_p75_taf,flow_exc_p90_taf,flow_exc_p95_taf
14750,C_WKYTN,s0105,1922,2021,1200,0.5496,0.000000,354.945,1.3481,,,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,218.207,215.812,215.812,215.812,186.195,154.834,123.017,158.059,156.492,155.924,155.924,134.214,111.705,88.88
14749,C_TUO003,s0105,1922,2021,1200,0.7992,0.000000,75.026,0.6248,79.613,0.7176,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,3298.496,2428.874,1624.613,384.266,234.741,191.129,173.324,2371.813,1754.304,1169.284,277.96,170.055,138.074,125.164
14748,C_TRNTY,s0105,1922,2021,1200,0.1591,0.000000,665.453,0.7851,,,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,2827.398,2472.095,1927.758,1475.442,1070.4,834.957,723.696,2064.985,1803.18,1406.483,1074.66,778.6,607.834,525.026
14747,C_TRN111,s0105,1922,2021,1200,0.3769,0.000000,314.110,0.8232,215.705,0.2684,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1913.044,1730.585,1091.083,958.625,691.375,577.542,577.542,1381.376,1255.787,795.487,698.047,503.415,419.304,419.304
14746,C_STS059,s0105,1922,2021,1200,0.6082,0.000000,211.771,0.7892,,,100.00,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1570.207,1195.674,624.252,430.686,317.767,298.547,298.547,1131.169,869.63,448.816,311.866,230.413,216.812,216.231
14745,C_STS011,s0105,1922,2021,1200,0.6408,0.000000,219.265,0.6062,153.135,0.4737,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1618.105,1226.192,708.51,507.719,382.631,334.143,314.794,1167.371,890.062,512.572,367.661,277.496,241.828,227.579
14744,C_STS004,s0105,1922,2021,1200,0.6470,0.000000,168.287,0.6536,,,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1550.997,1163.718,643.958,439.855,313.252,266.573,247.006,1118.617,844.662,465.233,318.35,226.916,192.768,178.649
14743,C_SSL001,s0105,1922,2021,1200,0.8642,0.000000,22.952,0.3098,,,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,12710.278,10141.468,5795.459,2083.717,1173.513,928.999,842.508,9291.683,7150.116,4029.469,1489.574,845.71,673.504,609.023
14742,C_SJR180,s0105,1922,2021,1200,0.6903,0.000000,27.475,0.4867,,,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1745.839,1232.731,492.698,256.255,165.819,125.559,67.215,1254.812,892.796,352.128,185.037,120.531,91.391,49.517
14741,C_SJR127,s0105,1922,2021,1200,0.7004,0.000000,46.891,0.3943,55.614,0.5975,,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,2951.243,2175.883,872.476,333.376,254.134,181.962,157.831,2096.37,1581.406,624.459,240.194,184.07,131.668,114.294
