id,scenario_short_code,mi_contractor_code,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_demand_met,contract_amount_taf,annual_demand_avg_taf,is_active,created_at,created_by,updated_at,updated_by
4785,s0011,ACFC,1922,2021,100,39.34,0.4628,65.73,61.89,54.62,42.15,25.32,12.43,7.84,1.05,24,24.00,7.31,4.14,0.01,0.00,0.00,0.00,0.00,54.84,54.84,,71.73,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4786,s0011,ACWD,1922,2021,100,16.05,0.3886,23.76,22.88,21.11,17.46,11.69,7.07,4.21,0.65,16,16.00,2.90,1.93,0.00,0.00,0.00,0.00,0.00,52.97,52.97,,30.30,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4787,s0011,AVEK,1922,2021,100,60.79,0.3917,88.87,85.75,79.56,69.17,44.97,21.19,15.90,0.14,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.41,54.41,,111.73,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4788,s0011,SCVWD,1922,2021,100,41.69,0.3914,66.21,61.43,53.59,43.95,29.60,17.63,11.89,1.65,42,42.00,10.42,3.79,0.69,0.00,0.00,0.00,0.00,51.65,51.65,,80.72,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4789,s0011,MWD,1922,2021,100,954.67,0.4192,1480.15,1433.95,1284.69,988.33,650.36,351.98,224.49,42.41,52,52.00,196.61,120.32,32.65,1.61,0.00,0.00,0.00,49.94,49.94,,1911.50,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4790,s0011,OBISPO,1922,2021,100,8.41,0.3397,11.80,11.38,10.40,9.50,6.46,3.51,2.70,0.01,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.52,47.52,,17.70,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4791,s0011,BRBRA,1922,2021,100,18.12,0.3658,26.40,25.29,23.09,19.79,13.65,7.41,4.92,0.11,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.07,52.07,,34.80,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4792,s0011,VNTRA,1922,2021,100,10.05,0.6094,21.89,19.90,13.70,9.31,5.94,2.41,1.21,1.71,23,23.00,12.19,7.66,0.00,0.00,0.00,0.00,0.00,80.12,80.12,,12.54,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4793,s0011,PLMDL,1922,2021,100,8.48,0.3541,11.60,11.31,10.86,9.74,6.05,3.53,2.49,0.02,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.97,51.97,,16.32,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
4794,s0011,LROCK,1922,2021,100,1.27,0.4404,2.03,1.97,1.74,1.30,0.81,0.48,0.29,0.00,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2
