id,scenario_short_code,mi_contractor_code,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_demand_met,contract_amount_taf,annual_demand_avg_taf,is_active,created_at,created_by,updated_at,updated_by
6529,s0105,CVP_PMI_S,1922,2021,100,117.43,0.3047,164.68,162.99,148.32,123.13,91.53,66.24,54.83,0.59,53,53.00,4.49,0.83,0.24,0.15,0.04,0.00,0.00,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6528,s0105,CVP_PMI_N,1922,2021,100,12.87,0.2734,15.58,15.57,15.28,14.20,12.55,7.37,4.15,0.56,24,24.00,3.76,2.31,0.01,0.00,0.00,0.00,0.00,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6527,s0105,SWP_PMI_S,1922,2021,100,1267.83,0.5104,2142.63,2073.94,1845.93,1341.09,786.36,349.21,233.27,177.99,85,85.00,747.66,528.16,163.40,26.41,2.97,0.00,0.00,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6526,s0105,SWP_PMI_N,1922,2021,100,19.79,0.2407,27.87,27.25,22.70,18.75,17.12,14.95,11.66,7.58,100,100.00,13.17,12.23,9.84,8.02,5.18,2.27,1.66,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6525,s0105,SWP_PMI_TOTAL,1922,2021,100,1287.62,0.5053,2161.57,2101.17,1866.51,1359.75,805.80,366.20,249.41,185.57,100,100.00,753.84,533.89,166.18,30.50,13.14,7.93,5.15,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6524,s0105,CSTLN,1922,2021,100,1.67,0.4348,2.73,2.58,2.23,1.70,1.23,0.56,0.43,0.49,42,42.00,2.17,1.44,0.66,0.00,0.00,0.00,0.00,40.40,40.40,,4.13,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6523,s0105,GRGNO,1922,2021,100,6.38,0.4851,10.16,10.08,9.00,7.04,4.25,1.80,1.13,1.27,40,40.00,7.80,3.35,1.21,0.00,0.00,0.00,0.00,45.21,45.21,,14.11,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6522,s0105,GABRL,1922,2021,100,14.57,0.5500,24.86,24.45,21.69,15.78,8.93,2.51,2.01,1.68,27,27.00,9.75,5.52,0.39,0.00,0.00,0.00,0.00,51.62,51.62,,28.23,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6521,s0105,BRDNO,1922,2021,100,45.80,0.5928,85.71,82.52,70.46,43.36,26.09,9.72,6.85,6.85,35,35.00,34.43,19.35,6.47,0.00,0.00,0.00,0.00,52.50,52.50,,87.23,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
6520,s0105,DESRT,1922,2021,100,15.48,0.5194,27.31,25.64,21.73,16.09,9.70,3.92,1.17,3.71,34,34.00,22.63,9.24,4.36,0.00,0.00,0.00,0.00,,,,,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2
