id,scenario_short_code,mi_contractor_code,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg
60997,s0011,ACFC,1,4.05,0.6148,0.00,0.77,2.68,3.78,5.57,7.51,8.83,8.12,7.51,6.04,3.78,2.11,0.77,0.26,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,7.37,54.94
60998,s0011,ACFC,2,2.76,0.5362,0.09,0.69,2.18,2.90,3.26,4.31,8.22,4.80,4.31,3.57,2.90,1.70,0.69,0.48,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,5.06,54.58
60999,s0011,ACFC,3,1.72,0.5074,0.00,0.62,1.55,1.77,1.91,2.20,5.99,3.26,2.20,1.94,1.77,1.51,0.62,0.08,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,3.74,46.03
61000,s0011,ACFC,4,0.48,0.9066,0.00,0.00,0.00,0.57,0.87,1.03,1.15,1.11,1.03,0.90,0.57,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,2.08,23.07
61001,s0011,ACFC,5,0.56,0.7767,0.00,0.00,0.11,0.71,0.93,1.00,1.14,1.06,1.00,0.95,0.71,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,2.01,27.93
61002,s0011,ACFC,6,1.00,0.3497,0.12,0.43,0.84,1.16,1.26,1.33,1.44,1.36,1.33,1.27,1.16,0.75,0.43,0.36,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,2.74,36.47
61003,s0011,ACFC,7,1.63,0.3141,0.08,0.78,1.55,1.86,1.95,2.09,2.24,2.13,2.09,1.95,1.86,1.52,0.78,0.40,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,3.80,42.88
61004,s0011,ACFC,8,3.35,0.5210,0.07,0.68,2.95,3.66,4.31,5.55,6.06,5.94,5.55,4.44,3.66,1.56,0.68,0.35,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,5.80,57.73
61005,s0011,ACFC,9,4.18,0.5386,0.10,1.00,3.25,4.14,5.31,7.37,8.03,7.88,7.37,5.75,4.14,2.28,1.00,0.51,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,7.35,56.87
61006,s0011,ACFC,10,7.12,0.5784,0.12,1.19,4.82,8.38,9.79,12.23,13.29,13.09,12.23,10.01,8.38,2.70,1.19,0.61,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,11.76,60.56
