id,scenario_short_code,mi_contractor_code,water_month,shortage_avg_taf,shortage_cv,shortage_frequency_pct,q0,q10,q30,q50,q70,q90,q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95
58709,s0011,ACFC,1,0.28,4.3333,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.52,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,1.54,0.00,0.00,0.00,0.00,0.00,0.00
58710,s0011,ACFC,2,0.17,3.8149,11.00,0.00,0.00,0.00,0.00,0.00,0.14,4.63,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,1.70,0.14,0.00,0.00,0.00,0.00,0.00
58711,s0011,ACFC,3,0.30,4.9128,5.00,0.00,0.00,0.00,0.00,0.00,0.00,11.82,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.21,0.00,0.00,0.00,0.00,0.00,0.00
58712,s0011,ACFC,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58713,s0011,ACFC,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58714,s0011,ACFC,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58715,s0011,ACFC,7,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58716,s0011,ACFC,8,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58717,s0011,ACFC,9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58718,s0011,ACFC,10,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:33:14.215054+00:00,1,2026-04-08 19:33:14.215054+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
