id,scenario_short_code,du_id,water_month,shortage_avg_taf,shortage_cv,shortage_pct_avg,shortage_pct_cv,shortage_frequency_pct,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by
33265,s0011,08N_PR1,1,0.25,4.8737,2.9664,4.9206,10.0000,0.00,0.00,0.00,0.00,0.00,0.01,7.29,0.59,0.01,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33266,s0011,08N_PR1,2,0.16,4.9670,2.9279,4.9850,8.0000,0.00,0.00,0.00,0.00,0.00,0.01,5.05,0.39,0.01,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33267,s0011,08N_PR1,3,0.02,3.9022,0.4598,3.6392,6.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.18,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33268,s0011,08N_PR1,4,0.00,0.0000,1.3880,6.2283,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33269,s0011,08N_PR1,5,0.00,0.0000,0.4596,3.6392,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33270,s0011,08N_PR1,6,0.00,0.0000,0.3401,4.1768,1.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33271,s0011,08N_PR1,7,0.01,0.0000,0.4505,3.5447,6.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33272,s0011,08N_PR1,8,0.01,0.0000,0.5573,3.4003,2.0000,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.08,0.01,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33273,s0011,08N_PR1,9,0.01,3.4350,0.5579,3.4048,7.0000,0.00,0.00,0.00,0.00,0.00,0.03,0.29,0.14,0.03,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33274,s0011,08N_PR1,10,0.01,3.4044,0.5671,3.4040,7.0000,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.14,0.02,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
