id,scenario_short_code,reservoir_entity_id,water_month,q0,q10,q30,q50,q70,q90,q100,mean_value,is_active,created_at,created_by,updated_at,updated_by,q0_taf,q10_taf,q30_taf,q50_taf,q70_taf,q90_taf,q100_taf,mean_taf,capacity_taf
308980,s0105,92,12,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308979,s0105,92,11,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308978,s0105,92,10,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308977,s0105,92,9,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308976,s0105,92,8,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308975,s0105,92,7,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,73.00
308974,s0105,92,6,95.89,95.89,95.89,95.89,98.63,98.63,98.63,97.04,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,70.00,70.00,70.00,70.00,72.00,72.00,72.00,70.84,73.00
308973,s0105,92,5,95.89,95.89,95.89,95.89,95.89,98.63,98.63,96.49,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,70.00,70.00,70.00,70.00,70.00,72.00,72.00,70.44,73.00
308972,s0105,92,4,95.89,95.89,95.89,95.89,95.89,97.70,98.63,96.23,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,70.00,70.00,70.00,70.00,70.00,71.32,72.00,70.25,73.00
308971,s0105,92,3,95.89,95.89,95.89,95.89,95.89,95.89,96.18,95.89,True,2026-04-08 23:42:37.801334+00:00,1,2026-04-08 23:42:37.801334+00:00,2,70.00,70.00,70.00,70.00,70.00,70.00,70.21,70.00,73.00
