id,scenario_short_code,reservoir_entity_id,simulation_start_year,simulation_end_year,total_years,storage_exc_p5,storage_exc_p10,storage_exc_p25,storage_exc_p50,storage_exc_p75,storage_exc_p90,storage_exc_p95,dead_pool_taf,dead_pool_pct,spill_threshold_pct,spill_years_count,spill_frequency_pct,spill_mean_cfs,spill_peak_cfs,annual_spill_avg_taf,annual_spill_cv,annual_spill_max_taf,annual_max_spill_q50,annual_max_spill_q90,annual_max_spill_q100,capacity_taf,is_active,created_at,created_by,updated_at,updated_by,flood_pool_prob_all,flood_pool_prob_september,flood_pool_prob_april,dead_pool_prob_all,dead_pool_prob_september,storage_cv_all,storage_cv_april,storage_cv_september,annual_avg_taf,april_avg_taf,september_avg_taf
1,s0020,1,1922,2021,100,97.58,94.26,86.25,77.25,70.52,66.67,64.83,5.00,0.44,,0,0.00,,,,,,,,,1143.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,0.0000,0.0000,0.1300,0.0792,0.0972,901.51,1021.69,826.76
2,s0020,2,1922,2021,100,99.27,99.27,46.81,7.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,,,,,,,,,5.10,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,,,1.3446,0.3522,0.7971,1.38,1.85,0.24
3,s0020,3,1922,2021,100,232.93,229.02,220.49,151.81,122.20,110.00,109.72,0.00,0.00,,0,0.00,,,,,,,,,4.10,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,,,0.2702,0.0007,0.0000,6.88,9.04,6.08
4,s0020,4,1922,2021,100,314.29,314.29,278.11,216.14,159.55,84.05,24.48,0.00,0.00,,0,0.00,,,,,,,,,7.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,,,0.4130,0.2882,0.4423,14.51,18.09,11.66
5,s0020,5,1922,2021,100,12.63,12.63,11.67,10.23,9.33,9.05,9.03,5.00,2.79,,0,0.00,,,,,,,,,179.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,0.0000,0.0000,0.1232,0.0664,0.0516,18.82,21.90,17.61
6,s0020,6,1922,2021,100,99.08,98.60,89.65,61.00,36.11,29.18,27.45,0.00,0.00,,0,0.00,,,,,,,,,97.70,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,,,0.4113,0.3331,0.2480,61.25,64.69,72.71
7,s0020,7,1922,2021,100,105.88,88.32,59.05,30.50,14.71,14.71,2.85,10.00,7.35,,0,0.00,,,,,,,,,136.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,0.0708,0.1500,0.7271,0.4507,0.7871,55.34,94.32,38.20
8,s0020,8,1922,2021,100,167.44,146.44,118.44,69.94,56.51,54.11,52.44,0.00,0.00,,0,0.00,,,,,,,,,9.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,,,0.4465,0.0000,0.0000,8.04,7.84,7.17
9,s0020,9,1922,2021,100,100.09,97.89,87.07,66.02,46.22,39.38,37.73,3.00,4.39,,0,0.00,,,,,,,,,68.30,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,0.0000,0.0000,0.3205,0.2246,0.1495,45.69,43.93,53.71
10,s0020,10,1922,2021,100,95.87,89.88,80.21,60.16,37.01,14.69,4.23,108.00,6.74,,0,0.00,,,,,,,,,1602.00,True,2026-02-01 21:42:22.116798+00:00,2,2026-04-08 19:31:33.645496+00:00,2,,,,0.0667,0.1200,0.4826,0.4215,0.5297,904.94,1020.02,807.09
