id,scenario_short_code,reservoir_entity_id,water_month,storage_avg_taf,storage_cv,storage_pct_capacity,q0,q10,q30,q50,q70,q90,q100,capacity_taf,sample_count,is_active,created_at,created_by,updated_at,updated_by,q0_taf,q10_taf,q30_taf,q50_taf,q70_taf,q90_taf,q100_taf,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,exc_p5_taf,exc_p10_taf,exc_p25_taf,exc_p50_taf,exc_p75_taf,exc_p90_taf,exc_p95_taf
307800,s0105,92,12,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307799,s0105,92,11,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307798,s0105,92,10,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307797,s0105,92,9,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307796,s0105,92,8,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307795,s0105,92,7,72.00,0.0000,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,72.00,72.00,72.00,72.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307794,s0105,92,6,70.84,0.0140,97.04,95.89,95.89,95.89,95.89,98.63,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,70.00,70.00,70.00,70.00,72.00,72.00,72.00,,,,,,,,,,,,,,
307793,s0105,92,5,70.44,0.0116,96.49,95.89,95.89,95.89,95.89,95.89,98.63,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,70.00,70.00,70.00,70.00,70.00,72.00,72.00,,,,,,,,,,,,,,
307792,s0105,92,4,70.25,0.0088,96.23,95.89,95.89,95.89,95.89,95.89,97.70,98.63,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,70.00,70.00,70.00,70.00,70.00,71.32,72.00,,,,,,,,,,,,,,
307791,s0105,92,3,70.00,0.0003,95.89,95.89,95.89,95.89,95.89,95.89,95.89,96.18,73.00,100,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,70.00,70.00,70.00,70.00,70.00,70.00,70.21,,,,,,,,,,,,,,
