id,scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order,tier_version_id,created_at,created_by,updated_at,updated_by
53488,s0104,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53487,s0103,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53486,s0102,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53485,s0101,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53484,s0100,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53483,s0099,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53482,s0098,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53481,s0097,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53480,s0096,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
53479,s0095,WRC_SALMON_AB,network_node,SAC299,Sacramento River at Keswick,4,1,1,8,2026-04-20 20:17:12.918240+00:00,2,2026-04-20 20:17:12.918240+00:00,2
