id,version_family_id,version_number,changelog,is_active,created_at,created_by,updated_at,updated_by
1,1,1.0.0,Initial theme version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
2,2,1.0.0,Initial scenario version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
3,3,1.0.0,Initial assumption version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
4,4,1.0.0,Initial operation version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
5,5,1.0.0,Initial hydroclimate version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
6,6,1.0.0,Initial variable version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
7,7,1.0.0,Initial outcome version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
8,8,1.0.0,Initial tier version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
9,9,1.0.0,Initial geospatial version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
10,10,1.0.0,Initial interpretive version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
11,11,1.0.0,Initial metadata version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
12,12,1.0.0,Initial network version,True,2025-09-01 13:34:43.149964+00:00,2,2026-03-01 13:48:44.475347+00:00,2
13,13,1.0.0,Initial entity version,True,2025-09-04 22:45:51.136658+00:00,2,2026-03-14 22:19:06.993053+00:00,2
14,14,1.0.0,Initial audit version,True,2026-02-15 17:49:23.607052+00:00,2,2026-03-14 22:19:06.993053+00:00,2
