id,short_code,label,description,network_entity_type_id,model_source_id,source_id,is_active,created_at,created_by,updated_at,updated_by
1,CH,Channel,Stream or canal channel arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
2,CT,Cross transfer,Cross-basin transfer arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
3,D,Diversion,Water diversion arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
4,DA,Diversion aggregated,Aggregated diversion arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
5,DD,Diversion disaggregated,Disaggregated diversion arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
6,IN,Inflow,Inflow to system arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
7,RT,Return,Return flow arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
8,SP,Spill,Spill or excess flow arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
9,SR,Stream return,Stream return flow arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
10,NULL_A,Null arc,Null or placeholder arc,1,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
11,CH_N,Channel node,Channel junction node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
12,NP,Network point,Network connection point node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
13,OM,Operations & maintenance,O&M facility node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
14,PR,Project,Project infrastructure node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
15,PS,Pump station,Pumping facility node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
16,RFS,Return flow split,Return flow distribution node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
17,S,Storage,Storage reservoir node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
18,STR,Stream,Stream gauge or junction node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
19,WTP,Water treatment plant,Water treatment facility node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
20,WWTP,Wastewater treatment plant,Wastewater treatment facility node,2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
21,X,Demand unit,"Water demand and delivery node (urban, agricultural, refuge)",2,1,4,True,2025-10-16 22:20:29.347089+00:00,2,2025-10-16 22:20:29.347089+00:00,2
