id,source,description,is_active,created_at,created_by,updated_at,updated_by
1,calsim_report,CalSim-3 report final.pdf,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
2,james_gilbert,James Gilbert,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
3,calsim_variables,CalSim variables from output and sv data,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
4,geopackage,CalSim3_GeoSchematic_20221227_COEQWAL_Revisions2024_corrected.gpkg,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
5,trend_report,Variables extracted from Gilbert team trend reports,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
6,metadata,Scenario metadata,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
7,cvm_docs,Central Valley Model documentation,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
8,network_schematic,Network schematic,True,2025-09-01 13:36:12.336716+00:00,2,2025-09-01 13:36:12.336716+00:00,2
9,manual,Manual insertion,True,2025-10-06 13:59:39.765456+00:00,2,2026-03-13 23:37:10.005924+00:00,2
10,NHD,National Hydrography Dataset,True,2026-02-15 19:15:03.598805+00:00,2,2026-03-13 23:37:10.005924+00:00,2
11,DWR_CDEC,DWR California Data Exchange Center,True,2026-02-15 19:15:03.598805+00:00,2,2026-03-13 23:37:10.005924+00:00,2
12,wietske_medema,Wietske Medema,True,2026-03-01 22:27:41.387141+00:00,2,2026-03-13 23:37:10.005924+00:00,2
