id,short_code,label,description,is_active,created_at,created_by,updated_at,updated_by
1,system_wide,System-wide,Entire CalSim system,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
2,regional,Regional,Hydrologic region,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
3,basin,Basin,Watershed or hydrologic basin,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
4,reservoir,Reservoir,Individual reservoir,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
5,river_reach,River reach,Specific river reach or segment,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
6,demand_unit,Demand unit,Individual demand unit,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
7,county,County,County-level aggregation,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
8,water_system,Water system,Local water system,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
9,delta,Delta,Sacramento–San Joaquin Delta,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
10,node,Node,Individual CalSim node,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
11,arc,Arc,Individual CalSim arc,True,2025-09-01 13:37:57.123422+00:00,2,2025-09-01 13:37:57.123422+00:00,2
