id,du_id,delivery_variable,shortage_variable,variable_type,requires_sum,notes,is_active,created_at,created_by,updated_at,updated_by,demand_variable,variable_type_id,demand_mode,demand_params
1,02_PU,DL_02_PU,SHRTG_02_PU,delivery,True,Zone 02 Project Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_02_PU,,sv,
2,02_SU,D_WTPFTH_02_SU,SHRTG_02_SU,delivery,False,Zone 02 Settlement Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_02_SU,,sv,
3,03_PU1,D_WTPJMS_03_PU1,SHRTG_03_PU1,delivery,False,Zone 03 Project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_03_PU1,,sv,
4,03_PU2,D_WTPBLV_03_PU2,SHRTG_03_PU2,delivery,False,Zone 03 Project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_03_PU2,,sv,
5,03_SU,DL_03_SU,SHRTG_03_SU,delivery,True,Zone 03 Settlement Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_03_SU,,sv,
6,11_NU1,D_THRMF_11_NU1,SHRTG_11_NU1,delivery,False,Zone 11 Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_11_NU1,,sv,
7,12_NU1,DL_12_NU1,SHRTG_12_NU1,delivery,True,Zone 12 Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_12_NU1,,sv,
8,13_NU1,DL_13_NU1,SHRTG_13_NU1,delivery,True,Zone 13 Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_13_NU1,,sv,
9,16_PU,D_WTPCYC_16_PU,SHRTG_16_PU,delivery,False,Zone 16 Project Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_16_PU,,sv,
10,20_NU1,D_WTPDWP_20_NU1,SHRTG_20_NU1,delivery,False,Zone 20 Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_20_NU1,,sv,
11,21_PU,D_WTPBTB_21_PU,SHRTG_21_PU,delivery,False,Zone 21 Project Urban,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_21_PU,,sv,
12,24_NU1,DL_24_NU1,SHRTG_24_NU1,delivery,True,Zone 24 Non-project Urban 1,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_24_NU1,,sv,
13,24_NU2,DL_24_NU2,SHRTG_24_NU2,delivery,False,Zone 24 Non-project Urban 2,True,2026-02-03 22:13:39.815850+00:00,2,2026-03-14 22:18:34.503785+00:00,2,UD_24_NU2,,sv,
