scenario_id,assumption_id,created_at,created_by,updated_at,updated_by
1,1,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
2,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
3,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
4,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
5,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
6,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
7,6,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
8,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
9,6,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
10,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
11,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
12,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
13,6,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
14,6,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
15,5,2026-03-16 21:14:48.628012+00:00,2,2026-03-16 21:14:48.628012+00:00,2
16,5,2026-03-16 21:14:48.628012+00:00,2,2026-03-16 21:14:48.628012+00:00,2
17,5,2026-03-16 21:14:48.628012+00:00,2,2026-03-16 21:14:48.628012+00:00,2
18,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
19,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
20,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
21,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
22,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
23,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
24,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
25,5,2026-03-01 23:30:31.808156+00:00,2,2026-03-01 23:30:31.808156+00:00,2
28,1,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
29,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
30,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
31,5,2026-03-24 18:25:09.917423+00:00,2,2026-03-24 18:25:09.917423+00:00,2
