id,short_code,run_name,is_active,hydroclimate_id,hydroclimate_sibling,scenario_version_id,scenario_author_id,model_source_id,created_by,updated_by,created_at,updated_at
1,s0011,s0011_adjBL_wTUCP,True,2,s0011,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
2,s0020,s0020_DCRadjBL_2020LU_wTUCP,True,2,s0020,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
3,s0021,s0021_DCRadjBL_2020LU_woTUCP,True,2,s0021,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
4,s0023,s0023_USBR24Alt2V1_adjBL_2020LU_woTUCP,True,2,s0023,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
5,s0024,s0024_USBR24Alt2V1_adjHist_2020LU_wTUCP,True,2,s0024,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
6,s0025,s0025_SJVgwLimit_2020LU_wTUCP_v0.2,True,2,s0025,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
7,s0026,s0026_SJVgwLimit_SGMALU_wTUCP,True,2,s0026,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
8,s0027,s0027_CVgwLimit_2020LU_wTUCP_v0.2,True,2,s0027,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
9,s0028,s0028_CVgwLimit_SGMALU_wTUCP,True,2,s0028,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
10,s0029,s0029_DCRadjHist_2020LU_eflowsV1_v0.2_20251014,False,2,s0029,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
11,s0030,s0030_DCRadjHist_2020LU_NoFlowReqt,True,2,s0030,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
12,s0031,s0031_DCRadjHist_2020LU_salmonflows,True,2,s0031,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
13,s0032,s0032_DCRadjHist_2020LU_eflows_aggw,True,2,s0032,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
14,s0033,s0033_DCRadjHist_2020LU_salmonflows_aggw,True,2,s0033,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
15,s0035,s0035_DCRadjBL_2020LU_PriorityHHS,True,2,s0035,1,3,1,2,2,2026-03-03 16:29:29.292955+00:00,2026-03-24 20:27:53.041383+00:00
16,s0036,s0036_DCRadjBL_2020LU_PriorityFuncCWN,True,2,s0036,1,3,1,2,2,2026-03-03 16:29:29.292955+00:00,2026-03-24 20:27:53.041383+00:00
17,s0037,s0037_DCRadjBL_2020LU_PriorityFullCWN,True,2,s0037,1,3,1,2,2,2026-03-03 16:29:29.292955+00:00,2026-03-24 20:27:53.041383+00:00
18,s0039,s0039_USBRAlt3_2020LU_DeltaOut65,True,2,s0039,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
19,s0040,s0040_USBRAlt3_2020LU_DeltaOut35,True,2,s0040,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
20,s0041,s0041_USBRAlt3_2020LU_DeltaOut45,True,2,s0041,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
21,s0042,s0042_USBRAlt3_2020LU_DeltaOut55,True,2,s0042,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
22,s0044,s0044_DCRadjHist_2020LU_ShastaCarryOver20,True,2,s0044,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
23,s0045,s0045_DCRadjBL_2020LU_RelaxFallX2,True,2,s0045,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
24,s0046,s0046_DCRadjHist_2020LU_EflowsV2,True,2,s0046,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
25,s0065,s0065_DWRadapt25_2020LU_DCP,True,2,s0065,1,3,1,2,2,2026-02-15 17:09:03.415202+00:00,2026-03-24 20:27:53.041383+00:00
26,s0022,s0022_USBR24Alt2V1_adjHist_0413LU_woTUCP,False,2,s0022,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
27,s0038,s0038_USBRAlt3_DCRadjBL_DeltaOut65,False,2,s0038,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
28,s0048,s0048_adjBL_cc50_wTUCP,True,3,s0011,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
29,s0047,s0047_DCRcc50_2020LU_wTUCP,True,3,s0020,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
30,s0049,s0049_DCRadjBL_cc50_2020LU_woTUCP,True,3,s0021,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
31,s0051,s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP,True,3,s0023,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
32,s0050,s0050_USBR24Alt2V1_cc50_adjHist_2020LU_wTUCP,True,3,s0024,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
33,s0067,s0067_SJVgwLimit_cc50__20LU_wTUCP,True,3,s0025,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
34,s0068,s0068_SJVgwLimit_cc50_SGMALU_wTUCP,True,3,s0026,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
35,s0062,s0062_CVgwLimit_cc50_2020LU_wTUCP,True,3,s0027,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
36,s0069,s0069_CVgwLimit_cc50_SGMALU_wTUCP,True,3,s0028,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
37,s0071,s0071_DCRadjHist_cc50_2020LU_NoFlowReqt,True,3,s0030,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
38,s0072,s0072_DCRadjHist_cc50_2020LU_salmonflows,True,3,s0031,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
39,s0073,s0073_DCRadjHist_cc50_CVgwLU_eflows,True,3,s0032,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
40,s0074,s0074_DCRadjHist_cc50_CVgwLU_salmonflows,True,3,s0033,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
41,s0075,s0075_DCRadjBL_cc50_2020LU_PriorityHHS,True,3,s0035,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
42,s0076,s0076_DCRadjBL_cc50_2020LU_PriorityFuncCWN,True,3,s0036,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
43,s0077,s0077_DCRadjBL_cc50_2020LU_PriorityFullCWN,True,3,s0037,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
44,s0078,s0078_USBRAlt3_cc50_2020LU_DeltaOut65,True,3,s0039,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
45,s0079,s0079_USBRAlt3_cc50_2020LU_DeltaOut35,True,3,s0040,1,3,1,2,2,2026-03-24 18:25:09.917423+00:00,2026-03-24 20:27:53.041383+00:00
