id,scenario_short_code,aggregate_code,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,shortage_avg_taf,shortage_cv,shortage_frequency_pct,sample_count,is_active,created_at,created_by,updated_at,updated_by
21048,s0105,sod_ag,12,167.79,0.5609,39.45,53.97,77.28,167.01,252.56,288.09,303.34,295.12,288.09,264.10,167.01,70.64,53.97,48.36,19.91,1.0602,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21047,s0105,sod_ag,11,280.51,0.5362,6.80,93.57,158.12,289.43,423.37,463.07,501.77,482.04,463.07,433.06,289.43,137.41,93.57,85.09,39.31,0.9249,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21046,s0105,sod_ag,10,375.31,0.4915,8.76,140.43,218.49,380.67,541.23,595.56,625.92,610.38,595.56,565.45,380.67,191.07,140.43,133.79,42.90,0.7153,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21045,s0105,sod_ag,9,291.44,0.4678,93.04,112.52,176.30,275.42,413.99,461.81,486.87,471.59,461.81,429.46,275.42,152.98,112.52,105.78,29.41,0.6682,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21044,s0105,sod_ag,8,227.48,0.5675,58.99,92.60,122.77,163.47,325.75,412.43,461.38,431.83,412.43,369.06,163.47,112.88,92.60,84.07,24.46,0.8458,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21043,s0105,sod_ag,7,120.17,0.4850,42.21,66.25,78.21,98.30,142.10,226.59,257.58,236.19,226.59,157.68,98.30,76.13,66.25,50.60,14.81,0.7030,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21042,s0105,sod_ag,6,61.16,0.4195,22.46,38.32,47.84,56.31,63.98,96.50,152.25,119.22,96.50,66.59,56.31,46.13,38.32,32.22,9.86,0.4816,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21041,s0105,sod_ag,5,68.78,0.7911,4.78,14.03,32.81,46.25,83.41,156.80,206.62,174.04,156.80,99.10,46.25,30.02,14.03,11.26,8.84,0.8950,96.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21040,s0105,sod_ag,4,34.62,0.4777,4.18,14.87,22.60,33.15,43.71,57.15,77.92,62.11,57.15,46.92,33.15,20.94,14.87,10.71,6.55,0.6567,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
21039,s0105,sod_ag,3,49.42,0.6282,6.11,11.24,20.45,50.69,73.01,91.65,125.35,94.39,91.65,75.91,50.69,16.93,11.24,9.55,6.93,1.8051,100.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
