id,scenario_short_code,aggregate_code,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,is_active,created_at,created_by,updated_at,updated_by
1754,s0105,sod_ag,1922,2021,100,1860.40,0.4172,2962.98,2855.70,2572.94,1931.78,1162.15,793.75,716.81,227.75,100,100.00,462.21,394.83,279.93,198.35,146.69,100.49,56.35,89.09,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1753,s0105,nod_ag,1922,2021,100,2521.54,0.1467,2873.80,2845.17,2766.39,2641.30,2457.37,1814.78,1754.36,60.67,83,83.00,132.50,131.48,126.66,11.20,6.53,0.00,0.00,97.65,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1752,s0105,cvp_pex_s,1922,2021,100,665.76,0.0957,737.66,731.37,712.30,677.95,636.91,592.58,549.60,137.87,100,100.00,215.57,184.33,161.54,138.45,119.02,68.27,53.67,82.84,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1751,s0105,cvp_psc_n,1922,2021,100,1546.13,0.1319,1723.60,1699.76,1663.23,1611.91,1526.37,1035.42,1008.62,39.31,83,83.00,86.18,85.20,82.95,5.88,3.26,0.00,0.00,97.52,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1750,s0105,cvp_pag_s,1922,2021,100,731.30,0.7346,1533.84,1425.33,1212.14,674.51,206.18,44.13,34.79,70.09,81,81.00,253.04,185.86,130.04,29.54,2.30,0.00,0.00,91.25,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1749,s0105,cvp_pag_n,1922,2021,100,240.65,0.6351,408.50,406.51,391.79,288.82,90.04,25.15,4.05,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1748,s0105,swp_pag_s,1922,2021,100,463.34,0.5374,804.71,776.84,686.98,507.73,234.38,122.34,101.31,19.79,18,18.00,162.73,29.88,0.00,0.00,0.00,0.00,0.00,95.90,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1747,s0105,swp_pag_n,1922,2021,100,734.76,0.1452,788.94,785.04,777.57,769.01,757.88,704.04,421.99,21.36,79,79.00,47.08,46.65,43.43,5.76,3.24,0.00,0.00,97.18,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1746,s0105,swp_pag,1922,2021,100,1198.11,0.2584,1580.05,1555.53,1456.00,1277.57,1013.02,753.24,547.34,41.14,79,79.00,180.51,72.85,44.05,20.00,3.24,0.00,0.00,96.68,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
1745,s0104,sod_ag,1922,2021,100,1782.26,0.3608,2795.52,2766.50,2392.36,1574.07,1282.23,1021.63,972.32,322.68,100,100.00,480.77,458.43,371.44,325.89,251.81,165.92,124.84,84.67,True,2026-04-08 23:52:10.805953+00:00,1,2026-04-08 23:52:10.805953+00:00,2
