id,scenario_short_code,du_id,water_month,demand_avg_taf,demand_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by
276061,s0011,02_NA,1,0.46,0.7613,0.00,0.00,0.17,0.51,0.71,0.91,1.01,0.94,0.91,0.77,0.51,0.05,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276062,s0011,02_NA,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276063,s0011,02_NA,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276064,s0011,02_NA,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276065,s0011,02_NA,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276066,s0011,02_NA,6,0.05,2.4724,0.00,0.00,0.00,0.00,0.00,0.24,0.70,0.32,0.24,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276067,s0011,02_NA,7,0.81,0.6188,0.00,0.04,0.56,0.83,1.18,1.47,1.67,1.54,1.47,1.23,0.83,0.40,0.04,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276068,s0011,02_NA,8,1.28,0.3834,0.00,0.50,1.08,1.37,1.60,1.86,2.03,1.89,1.86,1.65,1.37,1.02,0.50,0.39,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276069,s0011,02_NA,9,1.77,0.2027,0.88,1.26,1.59,1.89,2.03,2.12,2.31,2.16,2.12,2.07,1.89,1.50,1.26,1.08,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
276070,s0011,02_NA,10,2.15,0.0731,1.29,1.97,2.10,2.17,2.22,2.29,2.50,2.34,2.29,2.24,2.17,2.09,1.97,1.92,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
