id,scenario_short_code,du_id,water_month,demand_avg_taf,demand_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by
395532,s0105,91_PA,12,7.48,0.1716,2.10,6.06,7.37,7.78,8.04,8.66,9.11,8.93,8.66,8.21,7.78,7.21,6.06,4.66,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395531,s0105,91_PA,11,14.76,0.0946,8.35,13.36,14.12,14.73,15.40,16.66,17.89,16.89,16.66,15.61,14.73,13.95,13.36,12.80,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395530,s0105,91_PA,10,24.83,0.0585,21.57,22.85,24.08,25.01,25.77,26.59,28.97,26.99,26.59,25.91,25.01,23.87,22.85,22.48,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395529,s0105,91_PA,9,24.41,0.0826,16.28,22.13,23.55,24.58,25.32,26.58,28.38,27.24,26.58,25.86,24.58,23.29,22.13,21.51,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395528,s0105,91_PA,8,26.65,0.1045,11.46,23.39,25.72,27.35,28.41,29.12,30.59,29.49,29.12,28.52,27.35,25.25,23.39,21.11,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395527,s0105,91_PA,7,26.33,0.1273,15.53,21.76,24.75,27.26,28.41,30.05,31.25,30.20,30.05,28.63,27.26,24.44,21.76,19.88,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395526,s0105,91_PA,6,8.85,0.4507,1.35,2.94,6.64,9.18,11.42,13.46,17.63,14.56,13.46,12.03,9.18,5.80,2.94,2.27,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395525,s0105,91_PA,5,1.34,0.8618,0.00,0.00,0.36,1.31,2.10,2.74,3.86,3.14,2.74,2.29,1.31,0.14,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395524,s0105,91_PA,4,4.73,0.3122,0.68,2.77,3.93,4.84,5.61,6.65,7.23,6.80,6.65,5.91,4.84,3.68,2.77,2.16,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
395523,s0105,91_PA,3,5.35,0.3143,1.15,3.16,4.37,5.40,6.55,7.62,8.45,7.90,7.62,6.74,5.40,3.91,3.16,2.68,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
