id,scenario_short_code,du_id,water_month,gw_pumping_avg_taf,gw_pumping_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,is_calculated,sample_count,is_active,created_at,created_by,updated_at,updated_by
366732,s0105,91_PA,12,4.31,0.3716,0.86,2.46,3.17,4.22,5.36,6.33,8.43,6.57,6.33,5.64,4.22,2.97,2.46,1.69,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366731,s0105,91_PA,11,8.89,0.3705,3.32,5.04,6.12,9.17,10.49,13.95,16.55,14.82,13.95,11.09,9.17,5.90,5.04,4.47,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366730,s0105,91_PA,10,14.16,0.3382,5.22,8.49,10.40,14.59,17.21,19.65,26.80,21.38,19.65,17.68,14.59,9.94,8.49,7.32,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366729,s0105,91_PA,9,14.08,0.3415,3.94,8.20,10.10,15.04,17.32,19.80,24.00,20.63,19.80,17.89,15.04,9.48,8.20,7.11,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366728,s0105,91_PA,8,16.43,0.3294,2.59,9.47,12.65,17.22,19.56,23.00,27.22,24.12,23.00,20.80,17.22,11.43,9.47,7.96,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366727,s0105,91_PA,7,18.24,0.3039,4.78,9.64,17.19,19.77,21.48,24.00,28.47,25.81,24.00,21.83,19.77,14.54,9.64,7.31,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366726,s0105,91_PA,6,6.64,0.5421,0.54,1.63,4.15,6.83,8.68,11.28,15.40,12.20,11.28,9.50,6.83,3.72,1.63,1.08,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366725,s0105,91_PA,5,0.81,0.9145,0.00,0.00,0.20,0.72,1.24,1.82,2.91,1.95,1.82,1.45,0.72,0.08,0.00,0.00,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366724,s0105,91_PA,4,2.64,0.4578,0.51,1.23,1.92,2.48,3.12,4.39,5.80,4.83,4.39,3.33,2.48,1.85,1.23,0.95,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
366723,s0105,91_PA,3,2.97,0.4342,0.38,1.36,2.25,2.87,3.52,5.05,6.24,5.18,5.05,3.78,2.87,2.12,1.36,1.16,False,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
