id,scenario_short_code,du_id,water_month,sw_delivery_avg_taf,sw_delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by
219757,s0011,02_NA,1,0.22,0.7946,0.00,0.00,0.05,0.25,0.35,0.45,0.51,0.47,0.45,0.38,0.25,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219758,s0011,02_NA,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219759,s0011,02_NA,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219760,s0011,02_NA,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219761,s0011,02_NA,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219762,s0011,02_NA,6,0.03,2.4724,0.00,0.00,0.00,0.00,0.00,0.12,0.35,0.16,0.12,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219763,s0011,02_NA,7,0.40,0.6188,0.00,0.02,0.28,0.42,0.59,0.74,0.83,0.77,0.74,0.61,0.42,0.20,0.02,0.00,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219764,s0011,02_NA,8,0.64,0.3834,0.00,0.25,0.54,0.69,0.80,0.93,1.01,0.95,0.93,0.82,0.69,0.51,0.25,0.20,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219765,s0011,02_NA,9,0.86,0.2218,0.39,0.58,0.77,0.92,1.00,1.05,1.15,1.07,1.05,1.02,0.92,0.71,0.58,0.52,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
219766,s0011,02_NA,10,0.97,0.2274,0.11,0.63,0.98,1.05,1.09,1.13,1.25,1.14,1.13,1.10,1.05,0.95,0.63,0.42,100,True,2026-04-08 19:40:31.067455+00:00,1,2026-04-08 19:40:31.067455+00:00,2
