id,scenario_short_code,du_id,water_month,sw_delivery_avg_taf,sw_delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by
338316,s0105,91_PA,12,2.62,0.5059,0.00,1.19,1.66,2.60,3.53,4.40,4.93,4.59,4.40,3.84,2.60,1.55,1.19,0.72,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338315,s0105,91_PA,11,4.76,0.6231,0.00,0.00,2.99,4.42,7.20,8.54,10.28,8.97,8.54,7.59,4.42,2.79,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338314,s0105,91_PA,10,8.81,0.4971,0.00,3.86,5.34,8.46,12.59,14.12,16.18,14.65,14.12,13.08,8.46,5.02,3.86,3.43,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338313,s0105,91_PA,9,8.50,0.4823,0.00,3.81,5.25,8.53,12.07,13.65,15.30,14.04,13.65,12.31,8.53,4.80,3.81,3.33,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338312,s0105,91_PA,8,8.22,0.6155,0.00,2.31,4.50,6.65,11.91,15.22,19.07,15.68,15.22,13.26,6.65,4.14,2.31,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338311,s0105,91_PA,7,6.12,0.6967,0.00,0.00,4.40,5.45,7.10,12.64,15.34,13.91,12.64,8.14,5.45,4.01,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338310,s0105,91_PA,6,1.55,0.8584,0.00,0.00,0.43,1.53,2.28,2.99,4.86,4.08,2.99,2.34,1.53,0.00,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338309,s0105,91_PA,5,0.43,1.0841,0.00,0.00,0.05,0.25,0.55,1.22,1.84,1.32,1.22,0.75,0.25,0.01,0.00,0.00,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338308,s0105,91_PA,4,1.74,0.5838,0.00,0.56,1.06,1.54,2.27,3.27,4.59,3.45,3.27,2.49,1.54,0.97,0.56,0.35,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
338307,s0105,91_PA,3,1.98,0.5859,0.00,0.76,1.23,1.66,2.14,3.71,4.71,4.36,3.71,2.78,1.66,1.11,0.76,0.63,100,True,2026-04-08 23:53:06.727056+00:00,1,2026-04-08 23:53:06.727056+00:00,2
