id,scenario_short_code,variable_code,water_month,avg,cv,unit,sample_count,avg_cfs,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,created_at,created_by,updated_at,updated_by
12673,s0011,ndo,1,389.780,0.5994,TAF,100,6339.17,184.463,184.463,245.950,313.635,489.979,518.802,1736.818,567.995,518.802,499.587,313.635,245.950,184.463,184.463,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12674,s0011,ndo,2,467.453,0.8878,TAF,100,7855.81,208.264,267.769,302.949,343.979,401.883,814.257,3459.339,1242.589,814.257,426.515,343.979,290.740,267.769,267.769,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12675,s0011,ndo,3,1295.240,1.1996,TAF,100,21065.06,276.694,334.458,411.551,541.031,1232.235,3614.472,10111.388,4123.636,3614.472,1602.931,541.031,385.377,334.458,293.107,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12676,s0011,ndo,4,2611.061,1.1867,TAF,100,42464.83,368.926,441.826,741.005,1269.068,2406.071,6995.208,17079.984,8747.840,6995.208,3039.456,1269.068,610.489,441.826,394.210,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12677,s0011,ndo,5,2975.187,1.0317,TAF,100,53169.86,394.314,558.123,1004.228,1777.297,3409.605,7264.889,15373.335,8216.648,7264.889,3925.574,1777.297,877.958,558.123,476.436,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12678,s0011,ndo,6,2905.822,1.0401,TAF,100,47258.66,364.136,520.998,1080.324,1732.445,3301.134,7025.769,19037.281,7746.825,7025.769,3828.412,1732.445,948.440,520.998,478.110,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12679,s0011,ndo,7,1713.004,1.0079,TAF,100,28787.99,238.030,483.116,635.100,1022.823,1754.384,3973.313,9039.418,4999.013,3973.313,2042.829,1022.823,600.036,483.116,416.713,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12680,s0011,ndo,8,1363.477,0.8674,TAF,100,22174.82,250.168,356.662,625.123,849.989,1481.947,3281.893,5223.324,3885.659,3281.893,1756.956,849.989,589.153,356.662,270.670,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12681,s0011,ndo,9,824.888,1.0664,TAF,100,13862.69,178.512,178.840,422.479,435.273,713.883,1811.274,5214.249,2750.618,1811.274,819.991,435.273,408.329,178.840,178.512,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
12682,s0011,ndo,10,481.267,0.6094,TAF,100,7827.06,184.463,184.463,318.896,488.124,555.628,685.309,2344.828,797.637,685.309,563.911,488.124,307.438,184.463,184.463,2026-04-08 19:41:22.828609+00:00,1,2026-04-08 19:41:22.828609+00:00,2
