id,scenario_short_code,variable_code,water_month,avg,cv,unit,sample_count,avg_cfs,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,created_at,created_by,updated_at,updated_by
19968,s0105,tracy_ec,12,432.931,0.1318,UMHOS/CM,100,,340.424,351.873,405.058,430.407,459.328,517.325,561.332,534.402,517.325,463.712,430.407,385.174,351.873,348.670,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19967,s0105,tracy_ec,11,386.921,0.1540,UMHOS/CM,100,,331.496,342.456,349.546,368.837,379.147,500.858,558.969,521.868,500.858,386.430,368.837,348.147,342.456,340.571,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19966,s0105,tracy_ec,10,381.115,0.1439,UMHOS/CM,100,,326.807,337.544,346.925,363.924,379.501,485.147,538.141,506.589,485.147,387.581,363.924,345.509,337.544,335.125,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19965,s0105,tracy_ec,9,394.771,0.4400,UMHOS/CM,100,,320.636,339.077,355.123,373.773,392.748,422.892,2080.027,456.232,422.892,398.830,373.773,350.850,339.077,329.746,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19964,s0105,tracy_ec,8,391.196,0.1037,UMHOS/CM,100,,320.068,344.963,373.811,388.325,402.823,445.275,532.864,465.368,445.275,407.337,388.325,368.780,344.963,328.182,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19963,s0105,tracy_ec,7,390.849,0.1126,UMHOS/CM,100,,319.710,345.451,363.982,385.637,407.408,438.284,549.983,472.233,438.284,413.461,385.637,355.478,345.451,338.739,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19962,s0105,tracy_ec,6,421.313,0.1983,UMHOS/CM,100,,319.879,340.048,358.158,390.171,459.577,574.402,611.528,585.109,574.402,479.220,390.171,354.645,340.048,330.704,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19961,s0105,tracy_ec,5,522.488,0.2675,UMHOS/CM,100,,325.761,345.775,389.742,543.687,617.763,683.454,970.789,724.871,683.454,623.868,543.687,380.557,345.775,343.340,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19960,s0105,tracy_ec,4,603.278,0.1729,UMHOS/CM,100,,346.909,426.107,568.740,638.116,673.961,698.035,856.280,712.388,698.035,678.332,638.116,543.499,426.107,390.534,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
19959,s0105,tracy_ec,3,541.714,0.2251,UMHOS/CM,100,,338.233,384.388,434.651,573.964,622.431,683.787,813.728,704.151,683.787,651.022,573.964,417.209,384.388,368.646,2026-04-08 23:53:55.820107+00:00,1,2026-04-08 23:53:55.820107+00:00,2
