id,scenario_short_code,du_id,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg
257052,s0076,60S_NU1,12,5.87,0.2544,2.76,2.76,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,2.76,2.76,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,6.41,91.58
257051,s0076,60S_NU1,11,7.05,0.1912,2.85,7.13,7.47,7.47,7.52,7.52,7.52,7.52,7.52,7.52,7.47,7.47,7.13,2.85,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,7.29,96.71
257050,s0076,60S_NU1,10,7.39,0.1276,2.85,7.47,7.47,7.47,7.71,7.71,7.71,7.71,7.71,7.71,7.47,7.47,7.47,7.43,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,7.47,98.93
257049,s0076,60S_NU1,9,6.70,0.0882,2.11,6.57,6.82,6.82,6.86,6.88,6.88,6.88,6.88,6.88,6.82,6.57,6.57,6.57,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,6.63,100.00
257048,s0076,60S_NU1,8,5.78,0.0078,5.74,5.74,5.74,5.79,5.81,5.84,5.84,5.84,5.84,5.84,5.79,5.74,5.74,5.74,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,5.58,100.00
257047,s0076,60S_NU1,7,4.28,0.0079,4.25,4.25,4.25,4.25,4.31,4.31,4.36,4.36,4.31,4.31,4.25,4.25,4.25,4.25,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,4.18,100.00
257046,s0076,60S_NU1,6,3.53,0.0178,3.15,3.50,3.50,3.52,3.58,3.58,3.58,3.58,3.58,3.58,3.52,3.50,3.50,3.50,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,3.50,100.00
257045,s0076,60S_NU1,5,2.77,0.0165,2.58,2.77,2.77,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.77,2.77,2.63,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,2.77,100.00
257044,s0076,60S_NU1,4,2.95,0.0086,2.85,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.85,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,2.95,100.00
257043,s0076,60S_NU1,3,3.24,0.0407,2.85,3.04,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.04,2.85,100,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2,3.27,99.08
