id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,shortage_years_count,shortage_frequency_pct,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95,reliability_pct,avg_pct_demand_met,annual_demand_avg_taf,is_active,created_at,created_by,updated_at,updated_by
20773,s0076,60S_NU1,1922,2021,100,58.43,0.0709,60.55,60.55,60.48,60.00,59.18,52.03,49.89,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.47,97.47,59.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20772,s0076,26S_NU1,1922,2021,100,71.32,0.0456,72.00,72.00,72.00,72.00,72.00,72.00,65.53,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.05,99.05,72.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20771,s0076,24_NU1,1922,2021,100,5.99,0.0404,6.23,6.21,6.18,6.08,5.88,5.58,5.49,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.64,85.64,7.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20770,s0076,13_NU1,1922,2021,100,8.35,0.0079,8.35,8.35,8.35,8.35,8.35,8.35,8.35,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,5.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20769,s0076,12_NU1,1922,2021,100,2.97,0.0491,3.00,3.00,3.00,3.00,3.00,3.00,2.73,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.96,98.96,3.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20768,s0076,72_PU,1922,2021,100,0.09,0.4372,0.14,0.13,0.12,0.10,0.07,0.04,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,9.21,1.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20767,s0076,26S_PU6,1922,2021,100,11.89,0.0444,12.00,12.00,12.00,12.00,12.00,12.00,10.89,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.43,59.43,20.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20766,s0076,26S_PU5,1922,2021,100,6.93,0.0474,7.00,7.00,7.00,7.00,7.00,7.00,6.35,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.01,99.01,7.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20765,s0076,26S_PU4,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
20764,s0076,26S_PU2,1922,2021,100,3.85,0.0733,4.17,4.17,4.17,3.84,3.66,3.56,3.45,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.51,27.51,14.00,True,2026-04-09 07:05:35.671661+00:00,1,2026-04-09 07:05:35.671661+00:00,2
