id,scenario_short_code,du_id,water_month,shortage_avg_taf,shortage_cv,shortage_frequency_pct,q0,q10,q30,q50,q70,q90,q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95
85377,s0011,26N_NU3,1,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85378,s0011,26N_NU3,2,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85379,s0011,26N_NU3,3,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85380,s0011,26N_NU3,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85381,s0011,26N_NU3,5,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85382,s0011,26N_NU3,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85383,s0011,26N_NU3,7,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85384,s0011,26N_NU3,8,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85385,s0011,26N_NU3,9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85386,s0011,26N_NU3,10,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:31:30.066568+00:00,1,2026-04-08 19:31:30.066568+00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
