id,network_arc_id,scenario_short_code,water_month,flow_avg_cfs,flow_cv,unimp_avg_cfs,pct_unimpaired_avg,pct_unimpaired_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by,flow_avg_taf,flow_q0_cfs,flow_q10_cfs,flow_q30_cfs,flow_q50_cfs,flow_q70_cfs,flow_q90_cfs,flow_q100_cfs,flow_exc_p5_cfs,flow_exc_p10_cfs,flow_exc_p25_cfs,flow_exc_p50_cfs,flow_exc_p75_cfs,flow_exc_p90_cfs,flow_exc_p95_cfs,flow_q0_taf,flow_q10_taf,flow_q30_taf,flow_q50_taf,flow_q70_taf,flow_q90_taf,flow_q100_taf,flow_exc_p5_taf,flow_exc_p10_taf,flow_exc_p25_taf,flow_exc_p50_taf,flow_exc_p75_taf,flow_exc_p90_taf,flow_exc_p95_taf
123193,C_AMR004,s0011,1,1421.937,0.4577,355.055,777.826,1.0972,53.641,204.116,403.531,570.942,833.634,1407.998,7015.730,1811.981,1407.998,884.881,570.942,363.259,204.116,110.731,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,87.432,385.178,505.938,1095.395,1417.107,1595.325,2206.161,3906.266,2438.290,2206.161,1747.927,1417.107,996.901,505.938,462.763,23.684,31.109,67.353,87.135,98.093,135.652,240.187,149.925,135.652,107.476,87.135,61.297,31.109,28.454
123194,C_AMR004,s0011,2,2362.836,0.7027,889.516,577.666,1.0998,30.541,80.177,193.499,350.003,669.485,1141.793,3957.053,1475.572,1141.793,806.998,350.003,164.553,80.177,61.553,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,140.599,419.755,486.897,896.577,1942.932,3452.131,4365.113,8112.903,5170.817,4365.113,3615.968,1942.932,849.320,486.897,460.706,24.977,28.972,53.350,115.612,205.416,259.742,482.751,307.685,259.742,215.165,115.612,50.538,28.972,27.414
123195,C_AMR004,s0011,3,3095.795,1.0469,3303.496,162.386,1.0329,18.296,33.226,86.838,118.939,164.397,315.128,1294.512,482.477,315.128,181.812,118.939,75.842,33.226,27.197,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,190.353,500.000,592.965,1335.914,1944.538,2712.228,8594.611,14905.030,10314.345,8594.611,3178.664,1944.538,1049.485,592.965,522.594,30.744,36.460,82.142,119.565,166.768,528.462,916.475,634.204,528.462,195.448,119.565,64.530,36.460,32.133
123196,C_AMR004,s0011,4,4579.409,1.1846,5768.223,98.009,0.7974,14.702,45.355,69.827,84.897,94.042,169.187,741.186,187.085,169.187,100.380,84.897,67.860,45.355,30.641,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,281.577,431.251,644.137,1395.013,1754.344,4734.557,12420.151,29223.682,16876.834,12420.151,5559.167,1754.344,1355.118,644.137,546.709,26.517,39.606,85.776,107.870,291.117,763.685,1796.894,1037.716,763.685,341.820,107.870,83.323,39.606,33.616
123197,C_AMR004,s0011,5,5374.780,0.9829,5722.057,90.581,0.2755,22.581,58.877,80.606,94.208,103.222,118.521,166.702,126.038,118.521,106.936,94.208,77.509,58.877,45.337,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,300.927,425.006,1335.488,1753.625,3494.625,6286.775,11394.864,32819.359,13317.453,11394.864,7095.265,3494.625,1684.817,1335.488,1060.189,23.604,74.302,100.742,194.082,352.914,645.113,1822.695,740.958,645.113,395.965,194.082,93.570,74.302,58.880
123198,C_AMR004,s0011,6,3743.354,0.9758,7381.245,45.270,0.3557,9.718,27.306,34.740,42.846,50.302,70.341,87.179,71.529,70.341,52.732,42.846,33.768,27.306,24.117,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,230.170,416.169,891.496,1597.166,1738.021,4203.946,8792.311,18030.523,11761.331,8792.311,4789.497,1738.021,1470.467,891.496,865.077,25.589,54.816,98.206,106.867,258.491,540.618,1108.654,723.176,540.618,294.495,106.867,90.415,54.816,53.191
123199,C_AMR004,s0011,7,3195.373,1.0244,7406.795,36.729,0.4749,9.785,18.660,22.592,31.882,47.254,60.191,83.253,68.282,60.191,50.310,31.882,21.472,18.660,17.134,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,190.138,434.043,845.478,1119.031,1549.965,3599.005,7166.115,18874.643,8652.449,7166.115,4508.627,1549.965,1033.868,845.478,670.513,25.827,50.309,66.587,92.229,214.156,426.413,1123.119,514.856,426.413,268.282,92.229,61.519,50.309,39.898
123200,C_AMR004,s0011,8,4340.131,0.8058,7832.273,49.758,0.3499,12.856,28.450,40.090,51.410,59.473,70.097,87.801,73.039,70.097,62.691,51.410,36.277,28.450,19.173,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,266.864,470.543,827.966,1255.628,3877.109,5541.176,9259.858,13058.558,11859.929,9259.858,6080.701,3877.109,1097.237,827.966,709.589,28.933,50.910,77.206,238.394,340.714,569.366,802.939,729.239,569.366,373.888,238.394,67.466,50.910,43.631
123201,C_AMR004,s0011,9,4419.085,0.6968,3902.232,175.642,0.7295,57.324,87.162,96.295,111.865,193.156,315.543,737.106,425.432,315.543,223.091,111.865,95.615,87.162,75.885,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,262.954,383.883,1024.290,2644.032,4044.991,5226.881,8323.185,16537.869,11524.413,8323.185,5389.659,4044.991,2027.094,1024.290,563.741,22.843,60.949,157.331,240.694,311.021,495.264,984.072,685.750,495.264,320.707,240.694,120.620,60.949,33.545
123202,C_AMR004,s0011,10,3609.732,0.3668,1034.632,1262.185,1.3405,91.247,130.138,310.484,705.171,1320.898,2897.738,10308.664,3725.788,2897.738,1422.740,705.171,249.550,130.138,117.191,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,221.954,430.532,1982.857,3009.794,3498.371,4468.095,5288.995,7780.972,5307.714,5288.995,4643.376,3498.371,2842.528,1982.857,1470.457,26.472,121.921,185.065,215.106,274.732,325.208,478.433,326.359,325.208,285.510,215.106,174.780,121.921,90.415
