id,network_arc_id,scenario_short_code,water_month,flow_avg_cfs,flow_cv,unimp_avg_cfs,pct_unimpaired_avg,pct_unimpaired_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by,flow_avg_taf,flow_q0_cfs,flow_q10_cfs,flow_q30_cfs,flow_q50_cfs,flow_q70_cfs,flow_q90_cfs,flow_q100_cfs,flow_exc_p5_cfs,flow_exc_p10_cfs,flow_exc_p25_cfs,flow_exc_p50_cfs,flow_exc_p75_cfs,flow_exc_p90_cfs,flow_exc_p95_cfs,flow_q0_taf,flow_q10_taf,flow_q30_taf,flow_q50_taf,flow_q70_taf,flow_q90_taf,flow_q100_taf,flow_exc_p5_taf,flow_exc_p10_taf,flow_exc_p25_taf,flow_exc_p50_taf,flow_exc_p75_taf,flow_exc_p90_taf,flow_exc_p95_taf
177000,C_WKYTN,s0105,12,122.463,0.3476,49.557,821.845,2.1005,0.000,80.834,144.421,281.794,605.830,1466.574,10997.502,3160.215,1466.574,723.186,281.794,125.059,80.834,55.152,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,7.287,0.000,24.806,134.700,134.700,134.700,150.000,150.000,150.000,150.000,134.700,134.700,134.700,24.806,0.000,0.000,1.476,8.015,8.015,8.015,8.926,8.926,8.926,8.926,8.015,8.015,8.015,1.476,0.000
176999,C_WKYTN,s0105,11,109.434,0.3462,61.405,595.013,2.3102,0.000,42.387,132.428,225.783,504.242,1064.045,11203.831,1860.689,1064.045,558.732,225.783,100.402,42.387,0.000,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,6.729,0.000,107.184,114.400,114.400,114.400,150.000,150.000,150.000,150.000,114.400,114.400,114.400,107.184,0.000,0.000,6.590,7.034,7.034,7.034,9.223,9.223,9.223,9.223,7.034,7.034,7.034,6.590,0.000
176998,C_WKYTN,s0105,10,111.837,0.2533,67.677,459.954,1.6035,0.000,54.068,110.855,175.277,473.258,1013.860,4700.719,1438.268,1013.860,566.296,175.277,96.175,54.068,31.599,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,6.877,0.000,106.200,106.200,106.200,106.200,150.000,150.000,150.000,150.000,106.200,106.200,106.200,106.200,106.200,0.000,6.530,6.530,6.530,6.530,9.223,9.223,9.223,9.223,6.530,6.530,6.530,6.530,6.530
176997,C_WKYTN,s0105,9,202.191,0.1538,166.412,237.269,0.9661,27.883,57.995,110.059,163.114,270.446,512.202,1570.337,634.443,512.202,299.201,163.114,100.878,57.995,40.339,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,12.031,150.000,150.000,220.528,220.528,220.528,220.528,220.528,220.528,220.528,220.528,220.528,150.000,150.000,150.000,8.926,8.926,13.122,13.122,13.122,13.122,13.122,13.122,13.122,13.122,13.122,8.926,8.926,8.926
176996,C_WKYTN,s0105,8,257.217,0.0600,359.935,153.879,0.9923,14.132,37.908,56.197,114.981,158.756,345.498,788.407,433.925,345.498,173.401,114.981,49.541,37.908,28.560,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,15.816,231.317,231.317,266.317,266.317,266.317,266.317,266.317,266.317,266.317,266.317,266.317,231.317,231.317,231.317,14.223,14.223,16.375,16.375,16.375,16.375,16.375,16.375,16.375,16.375,16.375,14.223,14.223,14.223
176995,C_WKYTN,s0105,7,217.341,0.3832,605.369,63.255,0.8008,9.925,19.691,30.409,49.088,78.738,117.836,328.498,139.493,117.836,84.420,49.088,27.452,19.691,13.716,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,12.933,150.000,150.000,234.800,234.800,234.800,234.800,948.112,234.800,234.800,234.800,234.800,150.000,150.000,150.000,8.926,8.926,13.972,13.972,13.972,13.972,56.417,13.972,13.972,13.972,13.972,8.926,8.926,8.926
176994,C_WKYTN,s0105,6,273.219,1.1098,941.215,47.193,0.9743,7.842,13.931,22.511,31.896,50.301,88.969,262.221,127.597,88.969,53.864,31.896,19.974,13.931,11.078,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,16.800,150.000,150.000,234.910,271.300,271.300,271.300,3000.000,271.300,271.300,271.300,271.300,150.000,150.000,150.000,9.223,9.223,14.444,16.682,16.682,16.682,184.463,16.682,16.682,16.682,16.682,9.223,9.223,9.223
176993,C_WKYTN,s0105,5,277.876,1.0408,917.982,189.020,7.1352,6.958,14.117,22.045,37.314,63.010,110.642,13532.003,196.491,110.642,70.742,37.314,20.849,14.117,11.602,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,15.555,67.383,150.000,286.100,286.100,286.100,286.100,3000.000,286.100,286.100,286.100,286.100,150.000,150.000,150.000,3.742,8.331,15.889,15.889,15.889,16.457,166.612,16.457,16.457,15.889,15.889,8.628,8.331,8.331
176992,C_WKYTN,s0105,4,297.367,1.0033,810.244,114.228,1.6089,3.601,14.043,30.362,51.789,96.499,264.662,1313.021,454.064,264.662,118.230,51.789,23.348,14.043,10.542,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,18.284,35.653,150.000,295.400,295.400,295.400,295.400,2608.297,295.400,295.400,295.400,295.400,259.050,150.000,150.000,2.192,9.223,18.163,18.163,18.163,18.163,160.378,18.163,18.163,18.163,18.163,15.928,9.223,9.223
176991,C_WKYTN,s0105,3,230.898,0.2990,437.219,152.820,1.3498,0.000,20.006,44.079,77.950,130.083,450.063,1275.631,613.453,450.063,166.485,77.950,35.000,20.006,14.668,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,14.197,0.000,150.000,269.700,269.700,269.700,269.700,269.700,269.700,269.700,269.700,269.700,150.000,150.000,120.444,0.000,9.223,16.583,16.583,16.583,16.583,16.583,16.583,16.583,16.583,16.583,9.223,9.223,7.406
