id,network_arc_id,scenario_short_code,simulation_start_year,simulation_end_year,total_months,pearson_r,p_value,avg_pct_unimpaired,annual_cv_pct_unimpaired,avg_pct_ff,annual_cv_pct_ff,mif_met_pct,is_active,created_at,updated_at,created_by,updated_by,flow_exc_p5_cfs,flow_exc_p10_cfs,flow_exc_p25_cfs,flow_exc_p50_cfs,flow_exc_p75_cfs,flow_exc_p90_cfs,flow_exc_p95_cfs,flow_exc_p5_taf,flow_exc_p10_taf,flow_exc_p25_taf,flow_exc_p50_taf,flow_exc_p75_taf,flow_exc_p90_taf,flow_exc_p95_taf
10267,C_AMR004,s0011,1922,2021,1200,0.8354,0.000000,667.161,1.2175,,,100.00,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,6656.592,6214.307,4770.345,2806.293,1816.804,1259.668,1054.776,4834.429,4403.638,3436.614,2027.781,1315.002,909.965,763.582
10268,C_CHW017,s0011,1922,2021,1200,,,,,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,205.888,126.404,34.989,2.15,0.667,0.311,0.136,142.945,90.646,24.846,1.544,0.475,0.219,0.098
10269,C_DMC003,s0011,1922,2021,1200,,,,,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,4298.551,4188.151,3880.648,3521.108,2876.545,2153.252,1776.704,3109.158,3030.765,2813.788,2554.813,2084.638,1556.481,1281.719
10270,C_FTR029,s0011,1922,2021,1200,0.7189,0.000000,125.780,0.2477,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,8845.777,8300.2,6123.933,3276.79,2280.039,1563.088,1445.315,6394.728,5958.931,4452.529,2384.428,1656.513,1130.393,1046.642
10271,C_FTR068,s0011,1922,2021,1200,0.5401,0.000000,31.744,0.3242,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,2327.382,1369.956,779.463,756.111,756.111,756.111,756.111,1705.688,993.42,563.831,547.24,547.24,547.24,547.24
10272,C_KSWCK,s0011,1922,2021,1200,0.6517,0.000000,154.511,0.1583,,,100.00,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,14280.426,12692.315,10063.802,7536.764,6287.54,5473.77,5142.441,10368.818,9231.717,7264.638,5452.358,4566.622,3968.936,3736.476
10273,C_LWSTN,s0011,1922,2021,1200,0.5938,0.000000,293.801,0.8948,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,1982.438,1628.485,1171.238,958.625,691.375,577.542,577.542,1443.64,1179.288,847.075,698.047,503.415,419.304,419.304
10274,C_MCD005,s0011,1922,2021,1200,0.7003,0.000000,130.332,0.6499,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,1810.255,1579.925,814.619,258.96,114.408,108.846,105.323,1294.7,1141.531,593.04,188.985,82.667,78.571,75.992
10275,C_MCD021,s0011,1922,2021,1200,0.6997,0.000000,113.591,0.7199,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,1773.909,1555.179,787.239,234.512,83.017,72.202,64.055,1268.354,1123.89,574.646,171.203,60.385,52.629,46.621
10276,C_OMR014,s0011,1922,2021,1200,0.3248,0.000000,-1090.503,0.4421,,,,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,-2360.333,-2955.1,-4185.085,-5144.631,-5713.565,-6115.975,-6359.713,-1702.546,-2140.104,-3039.042,-3732.718,-4149.448,-4449.552,-4609.243
