id,network_arc_id,scenario_short_code,season_id,pct_ff_avg,pct_ff_cv,deviation_avg,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,target_met_pct,sample_count,is_active,created_at,updated_at,created_by,updated_by,flow_avg_cfs,flow_cv,flow_q0,flow_q10,flow_q30,flow_q50,flow_q70,flow_q90,flow_q100,flow_exc_p5,flow_exc_p10,flow_exc_p25,flow_exc_p50,flow_exc_p75,flow_exc_p90,flow_exc_p95,unimp_avg_cfs,pct_unimpaired_avg,pct_unimpaired_cv,unimp_q0,unimp_q10,unimp_q30,unimp_q50,unimp_q70,unimp_q90,unimp_q100,unimp_exc_p5,unimp_exc_p10,unimp_exc_p25,unimp_exc_p50,unimp_exc_p75,unimp_exc_p90,unimp_exc_p95
51331,C_AMR004,s0011,1,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,4349.995,0.8643,633.149,1058.966,1618.609,2572.581,5579.724,9611.747,20080.187,12003.984,9611.747,6388.322,2572.581,1571.960,1058.966,869.877,4931.259,116.992,0.5530,28.815,66.558,88.946,101.482,121.681,179.094,492.980,242.947,179.094,128.420,101.482,86.636,66.558,47.250
51332,C_AMR004,s0011,2,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,3469.364,0.9061,425.106,874.590,1379.768,2298.477,4161.932,8605.998,15088.897,9862.045,8605.998,4711.656,2298.477,1296.161,874.590,772.948,7394.020,40.999,0.3694,14.641,24.626,30.128,37.805,48.587,63.509,77.728,69.406,63.509,52.243,37.805,28.327,24.626,22.596
51333,C_AMR004,s0011,3,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,4379.608,0.7157,457.317,962.708,1938.028,4027.462,5323.668,9756.934,13751.980,10361.659,9756.934,5573.116,4027.462,1645.488,962.708,733.175,5867.252,112.700,0.5488,36.392,68.415,79.459,87.084,117.891,188.032,388.637,239.811,188.032,127.153,87.084,77.561,68.415,59.654
51334,C_AMR004,s0011,4,,,,,,,,,,,,,,,,,,,101,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,2375.707,0.3409,439.124,1304.421,1963.294,2543.437,2775.916,3141.539,5407.395,3536.125,3141.539,2817.096,2543.437,1879.735,1304.421,1040.002,448.477,1789.564,1.3031,74.287,554.609,731.268,1051.494,1714.446,3382.413,20117.338,5483.861,3382.413,2010.079,1051.494,682.039,554.609,459.854
51335,C_AMR004,s0011,5,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,2362.836,0.7027,419.755,486.897,896.577,1942.932,3452.131,4365.113,8112.903,5170.817,4365.113,3615.968,1942.932,849.320,486.897,460.706,889.516,577.666,1.0998,30.541,80.177,193.499,350.003,669.485,1141.793,3957.053,1475.572,1141.793,806.998,350.003,164.553,80.177,61.553
51336,C_CHW017,s0011,1,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,91.873,2.5667,0.047,0.369,1.402,4.120,21.199,274.937,1275.823,529.577,274.937,43.352,4.120,1.223,0.369,0.176,,,,,,,,,,,,,,,,,
51337,C_CHW017,s0011,2,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,86.355,2.1610,0.094,0.670,1.701,4.606,21.209,310.406,1012.760,443.167,310.406,69.267,4.606,1.448,0.670,0.325,,,,,,,,,,,,,,,,,
51338,C_CHW017,s0011,3,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,1.621,5.7750,0.000,0.000,0.000,0.000,0.000,0.009,64.827,0.259,0.009,0.001,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
51339,C_CHW017,s0011,4,,,,,,,,,,,,,,,,,,,101,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,0.007,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.030,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
51340,C_CHW017,s0011,5,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 19:41:16.259896+00:00,2026-04-08 19:41:16.259896+00:00,2,2,3.415,6.2689,0.000,0.000,0.005,0.075,0.168,0.780,203.146,4.803,0.780,0.197,0.075,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
