id,network_arc_id,scenario_short_code,season_id,pct_ff_avg,pct_ff_cv,deviation_avg,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,target_met_pct,sample_count,is_active,created_at,updated_at,created_by,updated_by,flow_avg_cfs,flow_cv,flow_q0,flow_q10,flow_q30,flow_q50,flow_q70,flow_q90,flow_q100,flow_exc_p5,flow_exc_p10,flow_exc_p25,flow_exc_p50,flow_exc_p75,flow_exc_p90,flow_exc_p95,unimp_avg_cfs,pct_unimpaired_avg,pct_unimpaired_cv,unimp_q0,unimp_q10,unimp_q30,unimp_q50,unimp_q70,unimp_q90,unimp_q100,unimp_exc_p5,unimp_exc_p10,unimp_exc_p25,unimp_exc_p50,unimp_exc_p75,unimp_exc_p90,unimp_exc_p95
73750,C_WKYTN,s0105,5,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,187.651,0.3606,0.000,137.064,221.900,221.900,221.900,221.900,221.900,221.900,221.900,221.900,221.900,150.000,137.064,0.000,113.631,648.098,1.9115,0.000,45.179,109.447,252.201,522.092,1542.630,10376.118,2192.476,1542.630,628.310,252.201,89.650,45.179,0.000
73749,C_WKYTN,s0105,4,,,,,,,,,,,,,,,,,,,101,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,124.424,0.2555,0.000,97.250,130.925,130.925,130.925,150.000,168.400,150.000,150.000,130.925,130.925,130.925,97.250,37.500,58.723,896.047,1.8909,0.000,96.144,196.350,377.292,710.449,2285.638,14314.994,3355.209,2285.638,843.447,377.292,165.247,96.144,59.885
73748,C_WKYTN,s0105,3,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,229.704,0.1013,190.659,190.659,243.422,243.422,243.422,243.422,243.422,243.422,243.422,243.422,243.422,190.659,190.659,190.659,263.173,201.494,0.9144,21.249,51.162,85.190,143.591,228.046,445.657,1136.402,551.826,445.657,249.114,143.591,75.338,51.162,39.761
73747,C_WKYTN,s0105,2,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,245.280,0.7727,150.000,150.000,205.175,253.050,253.050,253.050,1974.056,253.050,253.050,253.050,253.050,150.000,150.000,150.000,773.292,55.224,0.7949,10.519,19.715,29.724,42.913,67.990,97.972,295.360,116.082,97.972,71.266,42.913,26.753,19.715,15.732
73746,C_WKYTN,s0105,1,,,,,,,,,,,,,,,,,,,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,268.714,0.5584,34.345,150.000,238.367,283.733,283.733,283.733,1188.367,283.733,283.733,283.733,283.733,195.367,150.000,150.000,721.815,177.327,4.0278,16.722,26.653,38.919,56.973,96.639,295.688,7149.312,361.376,295.688,129.483,56.973,36.447,26.653,24.205
73745,C_TUO003,s0105,5,81.969,0.9272,-18.031,0.000,36.066,56.046,68.034,92.461,111.172,589.419,142.482,111.172,98.168,68.034,49.572,36.066,21.021,23.00,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,340.263,1.1505,0.000,131.344,180.042,230.058,412.145,501.906,3026.463,583.262,501.906,436.505,230.058,172.046,131.344,110.311,692.647,163.901,1.3483,0.000,14.756,32.821,89.625,164.046,374.517,1099.834,774.231,374.517,189.208,89.625,28.642,14.756,9.003
73744,C_TUO003,s0105,4,49.305,0.7396,-50.695,7.873,12.831,29.983,39.370,52.466,87.941,245.829,116.097,87.941,58.973,39.370,28.375,12.831,9.767,6.93,101,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,248.067,1.0578,21.823,41.900,92.664,147.740,262.101,621.380,1476.359,771.299,621.380,295.169,147.740,86.663,41.900,33.610,398.658,112.040,0.9862,8.509,26.097,53.504,82.073,128.110,206.096,820.103,243.809,206.096,142.888,82.073,51.318,26.097,16.361
73743,C_TUO003,s0105,3,79.087,1.0649,-20.913,11.487,18.067,26.296,41.636,77.049,233.815,350.688,271.919,233.815,93.503,41.636,23.652,18.067,16.459,23.00,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1455.069,1.2114,185.305,220.793,369.439,602.617,1334.783,4400.497,7233.560,5847.555,4400.497,1603.208,602.617,330.219,220.793,211.864,4303.436,36.508,1.1800,8.103,13.763,19.979,28.992,38.279,55.870,415.558,64.999,55.870,45.228,28.992,18.280,13.763,10.611
73742,C_TUO003,s0105,2,152.880,0.8906,52.880,25.860,40.948,48.815,66.275,225.750,354.855,656.865,393.457,354.855,250.423,66.275,46.587,40.948,36.606,42.00,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,2130.755,1.1435,187.562,272.697,402.672,674.761,3149.894,5540.183,11485.732,6984.794,5540.183,3312.233,674.761,366.607,272.697,236.873,4764.183,36.469,0.7757,4.523,9.182,13.505,19.016,61.458,75.128,120.054,81.310,75.128,63.071,19.016,12.400,9.182,8.469
73741,C_TUO003,s0105,1,71.108,0.9590,-28.892,10.714,17.903,30.101,50.272,75.492,163.157,393.561,214.801,163.157,78.755,50.272,27.076,17.903,15.114,19.00,100,True,2026-04-08 23:53:49.709557+00:00,2026-04-08 23:53:49.709557+00:00,2,2,1151.029,1.4853,100.211,210.396,278.297,369.952,893.297,3531.386,9968.978,4707.243,3531.386,1186.458,369.952,259.614,210.396,187.593,2760.534,51.439,0.9010,6.017,14.691,22.090,39.590,57.975,101.005,302.826,138.613,101.005,62.670,39.590,19.567,14.691,12.240
