id,scenario_short_code,mi_contractor_code,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,created_by,updated_at,updated_by,demand_avg_taf,percent_of_demand_avg
81936,s0105,CVP_PMI_S,12,12.76,0.3628,3.38,4.12,9.94,12.71,17.39,17.47,17.47,17.47,17.47,17.47,12.71,8.63,4.12,4.10,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81935,s0105,CVP_PMI_S,11,12.01,0.3951,0.00,3.89,9.40,12.07,16.60,16.70,16.70,16.70,16.70,16.70,12.07,8.15,3.89,3.03,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81934,s0105,CVP_PMI_S,10,10.93,0.3865,0.00,3.51,8.48,10.93,15.08,15.18,15.18,15.18,15.18,15.18,10.93,7.34,3.51,3.48,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81933,s0105,CVP_PMI_S,9,9.69,0.3736,3.08,3.10,7.19,9.65,13.37,13.45,13.45,13.45,13.45,13.45,9.65,6.50,3.10,3.08,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81932,s0105,CVP_PMI_S,8,9.07,0.3856,3.06,3.08,6.12,9.44,13.02,13.22,13.22,13.22,13.22,13.12,9.44,6.12,3.08,3.06,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81931,s0105,CVP_PMI_S,7,9.52,0.3614,2.74,6.21,6.54,9.94,12.81,13.76,13.78,13.78,13.76,13.21,9.94,6.54,6.21,3.27,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81930,s0105,CVP_PMI_S,6,10.65,0.3611,3.97,7.94,7.94,9.45,12.76,16.33,16.41,16.41,16.33,13.74,9.45,7.94,7.94,3.97,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81929,s0105,CVP_PMI_S,5,3.38,0.4357,1.24,1.24,2.47,3.27,4.39,5.35,5.37,5.37,5.35,4.87,3.27,2.47,1.24,1.24,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81928,s0105,CVP_PMI_S,4,7.83,0.3473,2.17,4.80,6.22,7.87,10.52,10.54,10.54,10.54,10.54,10.54,7.87,5.34,4.80,2.53,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
81927,s0105,CVP_PMI_S,3,11.28,0.3431,3.66,6.96,8.99,11.34,15.10,15.11,15.11,15.11,15.11,15.11,11.34,7.73,6.96,3.66,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,,
