id,scenario_short_code,mi_contractor_code,water_month,shortage_avg_taf,shortage_cv,shortage_frequency_pct,q0,q10,q30,q50,q70,q90,q100,sample_count,is_active,created_at,created_by,updated_at,updated_by,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95
79648,s0105,CVP_PMI_S,12,0.02,3.7522,1.00,0.00,0.00,0.00,0.00,0.03,0.03,0.71,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.03,0.03,0.03,0.00,0.00,0.00,0.00
79647,s0105,CVP_PMI_S,11,0.15,4.3373,6.00,0.00,0.00,0.00,0.01,0.03,0.03,3.87,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.83,0.03,0.03,0.01,0.00,0.00,0.00
79646,s0105,CVP_PMI_S,10,0.09,5.3718,3.00,0.00,0.00,0.00,0.00,0.03,0.03,3.48,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.03,0.03,0.03,0.00,0.00,0.00,0.00
79645,s0105,CVP_PMI_S,9,0.01,1.1371,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.03,0.03,0.03,0.00,0.00,0.00,0.00
79644,s0105,CVP_PMI_S,8,0.01,0.0000,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.02,0.02,0.02,0.00,0.00,0.00,0.00
79643,s0105,CVP_PMI_S,7,0.01,4.5948,1.00,0.00,0.00,0.00,0.00,0.01,0.02,0.52,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.02,0.02,0.02,0.00,0.00,0.00,0.00
79642,s0105,CVP_PMI_S,6,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.02,0.02,0.01,0.00,0.00,0.00,0.00
79641,s0105,CVP_PMI_S,5,0.01,6.1656,1.00,0.00,0.00,0.00,0.00,0.01,0.01,0.63,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.01,0.01,0.01,0.00,0.00,0.00,0.00
79640,s0105,CVP_PMI_S,4,0.01,0.0000,1.00,0.00,0.00,0.00,0.00,0.01,0.01,0.36,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.01,0.01,0.01,0.00,0.00,0.00,0.00
79639,s0105,CVP_PMI_S,3,0.01,0.0000,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,100,True,2026-04-08 23:48:44.453027+00:00,1,2026-04-08 23:48:44.453027+00:00,2,0.01,0.01,0.01,0.00,0.00,0.00,0.00
