id,scenario_short_code,du_id,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by
33265,s0011,08N_PR1,1,6.72,0.1938,0.00,5.99,6.65,7.00,7.24,7.55,8.30,7.68,7.55,7.32,7.00,6.60,5.99,5.79,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33266,s0011,08N_PR1,2,3.78,0.2790,0.00,2.66,3.44,3.93,4.47,4.88,5.42,5.01,4.88,4.60,3.93,3.31,2.66,2.33,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33267,s0011,08N_PR1,3,3.26,0.2752,1.20,1.89,2.68,3.41,3.80,4.32,4.86,4.56,4.32,3.86,3.41,2.58,1.89,1.65,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33268,s0011,08N_PR1,4,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33269,s0011,08N_PR1,5,0.23,0.3011,0.03,0.14,0.20,0.23,0.27,0.31,0.37,0.32,0.31,0.28,0.23,0.18,0.14,0.11,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33270,s0011,08N_PR1,6,0.79,0.2306,0.32,0.58,0.70,0.78,0.88,1.03,1.37,1.08,1.03,0.91,0.78,0.68,0.58,0.54,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33271,s0011,08N_PR1,7,1.65,0.1644,0.88,1.28,1.55,1.67,1.83,1.96,2.14,1.99,1.96,1.84,1.67,1.53,1.28,1.13,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33272,s0011,08N_PR1,8,1.23,0.1101,0.64,1.05,1.18,1.26,1.31,1.38,1.48,1.41,1.38,1.33,1.26,1.15,1.05,0.98,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33273,s0011,08N_PR1,9,2.22,0.0643,1.83,2.02,2.15,2.25,2.30,2.38,2.54,2.42,2.38,2.32,2.25,2.14,2.02,1.97,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
33274,s0011,08N_PR1,10,1.95,0.0322,1.74,1.87,1.93,1.95,1.98,2.01,2.05,2.04,2.01,1.98,1.95,1.92,1.87,1.83,100,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2
