id,scenario_short_code,du_id,water_month,delivery_avg_taf,delivery_cv,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by
49680,s0105,91_PR,12,2.83,0.1216,1.80,2.21,2.80,2.96,3.04,3.13,3.28,3.17,3.13,3.07,2.96,2.76,2.21,2.15,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49679,s0105,91_PR,11,4.91,0.2731,0.00,3.95,5.28,5.40,5.46,5.55,5.78,5.60,5.55,5.48,5.40,5.22,3.95,0.00,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49678,s0105,91_PR,10,2.19,0.2065,0.00,1.73,2.27,2.34,2.37,2.45,2.58,2.48,2.45,2.38,2.34,2.24,1.73,1.70,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49677,s0105,91_PR,9,2.15,0.1121,1.57,1.71,2.14,2.23,2.28,2.38,2.59,2.40,2.38,2.30,2.23,2.11,1.71,1.65,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49676,s0105,91_PR,8,4.32,0.1226,2.99,3.43,4.28,4.50,4.61,4.80,5.24,4.94,4.80,4.66,4.50,4.14,3.43,3.23,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49675,s0105,91_PR,7,2.77,0.1565,0.00,2.25,2.70,2.87,3.04,3.13,3.32,3.19,3.13,3.05,2.87,2.63,2.25,2.10,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49674,s0105,91_PR,6,0.83,0.1314,0.43,0.68,0.79,0.87,0.90,0.95,0.98,0.95,0.95,0.91,0.87,0.76,0.68,0.62,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49673,s0105,91_PR,5,0.45,0.2658,0.00,0.32,0.41,0.47,0.53,0.57,0.66,0.59,0.57,0.54,0.47,0.40,0.32,0.28,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49672,s0105,91_PR,4,0.53,0.2440,0.00,0.37,0.50,0.55,0.60,0.66,0.71,0.68,0.66,0.61,0.55,0.48,0.37,0.32,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49671,s0105,91_PR,3,0.76,0.1750,0.45,0.59,0.69,0.78,0.84,0.93,1.03,0.97,0.93,0.86,0.78,0.67,0.59,0.52,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
