id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,annual_shortage_cv,annual_shortage_pct_avg,annual_shortage_pct_cv,reliability_pct_95,is_active,created_at,updated_at,created_by,updated_by,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
2773,s0011,08N_PR1,1922,2021,100,34.35,0.0919,37.88,37.25,36.43,35.03,33.08,31.85,29.65,0.85,3.4134,1.9959,3.4000,18.0216,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,7.31,1.41,0.0,0.0,0.0,0.0,0.0
2774,s0011,08N_PR2,1922,2021,100,17.50,0.1130,19.31,19.15,18.47,17.86,17.26,16.41,13.91,0.76,2.7833,3.4300,2.7566,23.4509,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,4.89,2.08,0.0,0.0,0.0,0.0,0.0
2775,s0011,08S_PR,1922,2021,100,24.04,0.1217,26.57,26.26,25.79,25.05,23.41,20.89,19.16,2.37,1.3399,15.5183,1.3242,62.1009,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,9.14,6.03,2.56,1.26,0.51,0.11,0.01
2776,s0011,09_PR,1922,2021,100,8.61,0.0992,9.66,9.45,9.09,8.78,8.29,7.72,7.22,0.15,4.2623,1.7947,4.2314,12.9146,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,1.18,0.0,0.0,0.0,0.0,0.0,0.0
2777,s0011,11_PR,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.81,0.2615,11.1295,0.2756,14.1553,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,5.98,5.43,5.29,5.14,4.95,4.32,1.03
2778,s0011,17N_NR,1922,2021,100,36.07,0.0710,39.40,38.99,37.97,36.40,34.62,32.85,30.63,0.00,0.0000,0.0000,0.0000,0.0000,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2779,s0011,17N_PR,1922,2021,100,28.68,0.0615,31.18,30.87,29.90,28.94,27.55,26.22,25.45,0.00,0.0000,0.0000,9.9499,0.0000,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2780,s0011,17S_PR,1922,2021,100,9.72,0.0129,9.91,9.89,9.82,9.71,9.64,9.53,9.50,5.66,0.1263,38.3464,0.0780,42.7078,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,6.78,6.66,6.2,5.71,5.18,4.66,4.45
2781,s0011,63_PR1,1922,2021,100,0.01,0.0000,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.0000,0.0000,0.0000,0.0000,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2782,s0011,63_PR2,1922,2021,100,13.69,0.0876,14.43,14.33,14.06,13.81,13.43,13.18,13.06,0.09,8.0081,0.9826,8.1305,0.0000,True,2026-04-08 19:40:51.483039+00:00,2026-04-08 19:40:51.483039+00:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
