id,scenario_short_code,du_id,simulation_start_year,simulation_end_year,total_years,annual_delivery_avg_taf,annual_delivery_cv,delivery_exc_p5,delivery_exc_p10,delivery_exc_p25,delivery_exc_p50,delivery_exc_p75,delivery_exc_p90,delivery_exc_p95,annual_shortage_avg_taf,annual_shortage_cv,annual_shortage_pct_avg,annual_shortage_pct_cv,reliability_pct_95,is_active,created_at,updated_at,created_by,updated_by,shortage_exc_p5,shortage_exc_p10,shortage_exc_p25,shortage_exc_p50,shortage_exc_p75,shortage_exc_p90,shortage_exc_p95
4140,s0105,91_PR,1922,2021,100,25.83,0.1370,28.42,28.18,27.72,27.31,25.90,21.90,16.86,25.54,0.1627,49.6218,0.1452,68.4693,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,36.01,30.71,25.65,24.22,23.42,22.15,21.59
4139,s0105,72_PR6,1922,2021,100,49.74,0.1329,54.96,54.64,54.11,52.57,48.46,40.32,36.09,4.37,1.5518,7.9678,1.5409,36.3314,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,19.41,16.0,6.6,1.15,0.46,0.12,0.0
4138,s0105,72_PR5,1922,2021,100,66.17,0.1512,73.92,73.30,72.04,69.94,66.51,53.79,41.62,11.25,0.9434,14.2370,0.9328,47.4601,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,34.34,29.36,12.99,7.9,4.39,2.4,1.83
4137,s0105,72_PR4,1922,2021,100,27.39,0.1318,30.43,30.26,29.75,28.61,26.90,21.08,20.22,1.94,1.8733,6.5138,1.8612,32.6417,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,10.02,8.01,2.67,0.0,0.0,0.0,0.0
4136,s0105,72_PR3,1922,2021,100,22.69,0.1343,25.27,24.97,24.47,23.74,22.36,17.73,16.61,1.50,2.0398,6.1214,2.0272,33.1410,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,8.36,6.19,1.87,0.0,0.0,0.0,0.0
4135,s0105,72_PR2,1922,2021,100,11.14,0.1007,12.05,11.89,11.73,11.45,11.14,10.25,8.37,0.37,2.7514,3.2476,2.7475,25.6311,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,2.81,1.22,0.01,0.0,0.0,0.0,0.0
4134,s0105,72_PR1,1922,2021,100,11.70,0.1334,13.03,12.91,12.61,12.22,11.41,9.55,8.33,0.81,1.9903,6.3370,1.9698,35.6588,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,4.63,3.42,1.05,0.0,0.0,0.0,0.0
4133,s0105,63_PR3,1922,2021,100,4.54,0.2654,5.53,5.43,5.20,4.92,4.42,3.88,1.15,0.44,2.8702,8.2157,2.8285,79.8569,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,4.5,1.01,0.0,0.0,0.0,0.0,0.0
4132,s0105,63_PR2,1922,2021,100,13.06,0.1981,14.58,14.47,14.10,13.74,13.20,10.11,6.78,0.61,3.1402,5.6229,3.1282,45.6231,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,4.45,3.22,0.0,0.0,0.0,0.0,0.0
4131,s0105,63_PR1,1922,2021,100,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
