id,scenario_short_code,du_id,water_month,shortage_avg_taf,shortage_cv,shortage_pct_avg,shortage_pct_cv,shortage_frequency_pct,q0,q10,q30,q50,q70,q90,q100,exc_p5,exc_p10,exc_p25,exc_p50,exc_p75,exc_p90,exc_p95,sample_count,is_active,created_at,updated_at,created_by,updated_by
49680,s0105,91_PR,12,2.70,0.1330,48.7548,0.1188,100.0000,2.06,2.35,2.50,2.61,2.72,3.30,3.75,3.44,3.30,2.79,2.61,2.47,2.35,2.31,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49679,s0105,91_PR,11,5.16,0.2707,51.1515,0.2617,100.0000,3.92,4.41,4.63,4.74,4.82,6.18,10.36,9.95,6.18,4.90,4.74,4.54,4.41,4.22,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49678,s0105,91_PR,10,2.19,0.2250,49.9704,0.2081,100.0000,1.68,1.87,2.00,2.06,2.13,2.71,4.69,2.80,2.71,2.15,2.06,1.96,1.87,1.82,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49677,s0105,91_PR,9,2.06,0.1422,48.7548,0.1188,100.0000,1.50,1.79,1.90,1.98,2.08,2.58,2.85,2.63,2.58,2.10,1.98,1.87,1.79,1.71,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49676,s0105,91_PR,8,4.12,0.1460,48.7548,0.1188,100.0000,2.49,3.51,3.84,4.01,4.21,5.18,5.69,5.30,5.18,4.24,4.01,3.71,3.51,3.42,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49675,s0105,91_PR,7,2.68,0.2092,48.9135,0.1527,100.0000,1.62,2.13,2.44,2.62,2.75,3.31,6.46,3.52,3.31,2.80,2.62,2.41,2.13,2.03,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49674,s0105,91_PR,6,0.78,0.1571,48.2312,0.1089,100.0000,0.52,0.63,0.72,0.77,0.81,0.93,1.16,1.03,0.93,0.83,0.77,0.69,0.63,0.61,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49673,s0105,91_PR,5,0.45,0.2666,49.9649,0.2080,100.0000,0.19,0.32,0.41,0.44,0.48,0.60,0.96,0.63,0.60,0.49,0.44,0.39,0.32,0.30,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49672,s0105,91_PR,4,0.52,0.2441,49.5587,0.1840,100.0000,0.28,0.40,0.47,0.50,0.54,0.61,1.22,0.70,0.61,0.55,0.50,0.45,0.40,0.38,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
49671,s0105,91_PR,3,0.72,0.1831,48.6268,0.1169,100.0000,0.40,0.56,0.65,0.71,0.79,0.88,1.11,1.01,0.88,0.80,0.71,0.64,0.56,0.54,100,True,2026-04-08 23:53:26.326845+00:00,2026-04-08 23:53:26.326845+00:00,2,2
