id,scenario_short_code,reservoir_entity_id,simulation_start_year,simulation_end_year,total_years,storage_exc_p5,storage_exc_p10,storage_exc_p25,storage_exc_p50,storage_exc_p75,storage_exc_p90,storage_exc_p95,dead_pool_taf,dead_pool_pct,spill_threshold_pct,spill_years_count,spill_frequency_pct,spill_mean_cfs,spill_peak_cfs,annual_spill_avg_taf,annual_spill_cv,annual_spill_max_taf,annual_max_spill_q50,annual_max_spill_q90,annual_max_spill_q100,capacity_taf,is_active,created_at,created_by,updated_at,updated_by,flood_pool_prob_all,flood_pool_prob_september,flood_pool_prob_april,dead_pool_prob_all,dead_pool_prob_september,storage_cv_all,storage_cv_april,storage_cv_september,annual_avg_taf,april_avg_taf,september_avg_taf
25200,s0105,92,1922,2021,100,98.63,98.63,98.63,98.63,95.89,95.89,95.89,5.00,6.85,97.55,100,100.00,,,,,,,,,73.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,1.0000,1.0000,1.0000,0.0000,0.0000,0.0131,0.0000,0.0000,71.21,72.00,72.00
25199,s0105,91,1922,2021,100,95.38,95.38,95.38,95.38,95.38,95.38,95.38,5.00,2.89,,0,0.00,,,,,,,,,173.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.0000,0.0000,0.0000,165.00,165.00,165.00
25198,s0105,90,1922,2021,100,93.13,93.13,93.13,93.13,93.13,93.13,93.13,5.00,3.82,,0,0.00,,,,,,,,,131.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.0009,0.0004,0.0000,122.01,122.00,122.00
25197,s0105,89,1922,2021,100,124.23,124.09,121.06,112.73,108.18,108.18,108.18,15.00,6.82,,0,0.00,,,,,,,,,220.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.0561,0.0339,0.0182,251.38,268.37,246.26
25196,s0105,88,1922,2021,100,100.11,100.11,98.79,86.22,75.45,67.58,62.73,5.00,1.39,,0,0.00,,,,,,,,,360.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.1630,0.1182,0.1185,304.86,337.48,284.48
25195,s0105,87,1922,2021,100,100.37,93.78,79.63,55.56,52.67,46.39,42.51,0.00,0.00,,0,0.00,,,,,,,,,27.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,,,0.2717,0.1359,0.1132,17.04,24.88,12.91
25194,s0105,86,1922,2021,100,51.95,51.95,51.95,51.95,38.96,32.47,32.47,5.00,6.49,,0,0.00,,,,,,,,,77.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.1704,0.0000,0.0039,35.52,40.00,40.02
25193,s0105,85,1922,2021,100,96.92,96.92,96.92,96.28,90.77,87.69,86.77,10.00,3.08,,0,0.00,,,,,,,,,325.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.0396,0.0072,0.0000,305.06,311.40,315.00
25192,s0105,84,1922,2021,100,99.59,99.59,99.59,90.04,85.48,83.23,74.69,25.00,10.37,,0,0.00,,,,,,,,,241.00,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.0877,0.0426,0.0879,220.18,237.66,226.32
25191,s0105,83,1922,2021,100,115.81,115.81,112.71,98.28,72.51,72.51,72.51,3.00,10.31,,0,0.00,,,,,,,,,29.10,True,2026-04-08 23:47:20.531997+00:00,1,2026-04-08 23:47:20.531997+00:00,2,,,,0.0000,0.0000,0.2056,0.0000,0.0000,27.31,31.40,31.40
